Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;duben 2021;Nová výstavba;7934
Česko;Počet vydaných stavebních povolení - budovy;duben 2021;Změny dokončených staveb;7671
Česko;Počet vydaných stavebních povolení - budovy;březen 2021;Celkem;10911
Česko;Počet vydaných stavebních povolení - budovy;březen 2021;Nová výstavba;5486
Česko;Počet vydaných stavebních povolení - budovy;březen 2021;Změny dokončených staveb;5425
Česko;Počet vydaných stavebních povolení - budovy;únor 2021;Celkem;6635
Česko;Počet vydaných stavebních povolení - budovy;únor 2021;Nová výstavba;3213
Česko;Počet vydaných stavebních povolení - budovy;únor 2021;Změny dokončených staveb;3422
Česko;Počet vydaných stavebních povolení - budovy;leden 2021;Celkem;3283
Česko;Počet vydaných stavebních povolení - budovy;leden 2021;Nová výstavba;1578
Česko;Počet vydaných stavebních povolení - budovy;leden 2021;Změny dokončených staveb;1705
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2020;Celkem;48835
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2020;Nová výstavba;25001
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2020;Změny dokončených staveb;23834
Česko;Počet vydaných stavebních povolení - budovy;listopad 2020;Celkem;45013
Česko;Počet vydaných stavebních povolení - budovy;listopad 2020;Nová výstavba;23146
Česko;Počet vydaných stavebních povolení - budovy;listopad 2020;Změny dokončených staveb;21867
Česko;Počet vydaných stavebních povolení - budovy;říjen 2020;Celkem;41062
Česko;Počet vydaných stavebních povolení - budovy;říjen 2020;Nová výstavba;21126
Česko;Počet vydaných stavebních povolení - budovy;říjen 2020;Změny dokončených staveb;19936
Česko;Počet vydaných stavebních povolení - budovy;září 2020;Celkem;37175
Česko;Počet vydaných stavebních povolení - budovy;září 2020;Nová výstavba;19202
Česko;Počet vydaných stavebních povolení - budovy;září 2020;Změny dokončených staveb;17973
Česko;Počet vydaných stavebních povolení - budovy;srpen 2020;Celkem;32984
Česko;Počet vydaných stavebních povolení - budovy;srpen 2020;Nová výstavba;17087
Česko;Počet vydaných stavebních povolení - budovy;srpen 2020;Změny dokončených staveb;15897
Česko;Počet vydaných stavebních povolení - budovy;červenec 2020;Celkem;28468
Česko;Počet vydaných stavebních povolení - budovy;červenec 2020;Nová výstavba;14943
Česko;Počet vydaných stavebních povolení - budovy;červenec 2020;Změny dokončených staveb;13525
Česko;Počet vydaných stavebních povolení - budovy;červen 2020;Celkem;24240
Česko;Počet vydaných stavebních povolení - budovy;červen 2020;Nová výstavba;12748
Česko;Počet vydaných stavebních povolení - budovy;červen 2020;Změny dokončených staveb;11492
Česko;Počet vydaných stavebních povolení - budovy;květen 2020;Celkem;19635
Česko;Počet vydaných stavebních povolení - budovy;květen 2020;Nová výstavba;10364
Česko;Počet vydaných stavebních povolení - budovy;květen 2020;Změny dokončených staveb;9271
Česko;Počet vydaných stavebních povolení - budovy;duben 2020;Celkem;15149
Česko;Počet vydaných stavebních povolení - budovy;duben 2020;Nová výstavba;8017
Česko;Počet vydaných stavebních povolení - budovy;duben 2020;Změny dokončených staveb;7132
Česko;Počet vydaných stavebních povolení - budovy;březen 2020;Celkem;11187
Česko;Počet vydaných stavebních povolení - budovy;březen 2020;Nová výstavba;5875
Česko;Počet vydaných stavebních povolení - budovy;březen 2020;Změny dokončených staveb;5312
Česko;Počet vydaných stavebních povolení - budovy;únor 2020;Celkem;7649
Česko;Počet vydaných stavebních povolení - budovy;únor 2020;Nová výstavba;4033
Česko;Počet vydaných stavebních povolení - budovy;únor 2020;Změny dokončených staveb;3616
Česko;Počet vydaných stavebních povolení - budovy;leden 2020;Celkem;3960
Česko;Počet vydaných stavebních povolení - budovy;leden 2020;Nová výstavba;2101
Česko;Počet vydaných stavebních povolení - budovy;leden 2020;Změny dokončených staveb;1859
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2019;Celkem;48010
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2019;Nová výstavba;24632
Česko;Počet vydaných stavebních povolení - budovy;prosinec 2019;Změny dokončených staveb;23378
Česko;Počet vydaných stavebních povolení - budovy;listopad 2019;Celkem;44043
