Ukazatel;Roky;SO ORP;Velikostní skupina obcí;value
Počet obyvatel;2024;Český Krumlov;10 000 až 19 999;
Počet obyvatel;2024;Český Krumlov;20 000 až 49 999;
Počet obyvatel;2024;Český Krumlov;50 000 až 99 999;
Počet obyvatel;2024;Český Krumlov;100 000 a více;
Počet obyvatel;2024;Dačice;Celkem;18355.0
Počet obyvatel;2024;Dačice;méně než 200;
Počet obyvatel;2024;Dačice;200 až 499;
Počet obyvatel;2024;Dačice;500 až 999;
Počet obyvatel;2024;Dačice;1 000 až 1 9999;
Počet obyvatel;2024;Dačice;2 000 až 4 999;
Počet obyvatel;2024;Dačice;5 000 až 9 9999;
Počet obyvatel;2024;Dačice;10 000 až 19 999;
Počet obyvatel;2024;Dačice;20 000 až 49 999;
Počet obyvatel;2024;Dačice;50 000 až 99 999;
Počet obyvatel;2024;Dačice;100 000 a více;
Počet obyvatel;2024;Jindřichův Hradec;Celkem;46406.0
Počet obyvatel;2024;Jindřichův Hradec;méně než 200;
Počet obyvatel;2024;Jindřichův Hradec;200 až 499;
Počet obyvatel;2024;Jindřichův Hradec;500 až 999;
Počet obyvatel;2024;Jindřichův Hradec;1 000 až 1 9999;
Počet obyvatel;2024;Jindřichův Hradec;2 000 až 4 999;
Počet obyvatel;2024;Jindřichův Hradec;5 000 až 9 9999;
Počet obyvatel;2024;Jindřichův Hradec;10 000 až 19 999;
Počet obyvatel;2024;Jindřichův Hradec;20 000 až 49 999;
Počet obyvatel;2024;Jindřichův Hradec;50 000 až 99 999;
Počet obyvatel;2024;Jindřichův Hradec;100 000 a více;
Počet obyvatel;2024;Kaplice;Celkem;20104.0
Počet obyvatel;2024;Kaplice;méně než 200;
Počet obyvatel;2024;Kaplice;200 až 499;
Počet obyvatel;2024;Kaplice;500 až 999;
Počet obyvatel;2024;Kaplice;1 000 až 1 9999;
Počet obyvatel;2024;Kaplice;2 000 až 4 999;
Počet obyvatel;2024;Kaplice;5 000 až 9 9999;
Počet obyvatel;2024;Kaplice;10 000 až 19 999;
Počet obyvatel;2024;Kaplice;20 000 až 49 999;
Počet obyvatel;2024;Kaplice;50 000 až 99 999;
Počet obyvatel;2024;Kaplice;100 000 a více;
Počet obyvatel;2024;Milevsko;Celkem;18063.0
Počet obyvatel;2024;Milevsko;méně než 200;
Počet obyvatel;2024;Milevsko;200 až 499;
Počet obyvatel;2024;Milevsko;500 až 999;
Počet obyvatel;2024;Milevsko;1 000 až 1 9999;
Počet obyvatel;2024;Milevsko;2 000 až 4 999;
Počet obyvatel;2024;Milevsko;5 000 až 9 9999;
Počet obyvatel;2024;Milevsko;10 000 až 19 999;
Počet obyvatel;2024;Milevsko;20 000 až 49 999;
Počet obyvatel;2024;Milevsko;50 000 až 99 999;
Počet obyvatel;2024;Milevsko;100 000 a více;
Počet obyvatel;2024;Písek;Celkem;54849.0
Počet obyvatel;2024;Písek;méně než 200;
Počet obyvatel;2024;Písek;200 až 499;
Počet obyvatel;2024;Písek;500 až 999;
Počet obyvatel;2024;Písek;1 000 až 1 9999;
Počet obyvatel;2024;Písek;2 000 až 4 999;
Počet obyvatel;2024;Písek;5 000 až 9 9999;
Počet obyvatel;2024;Písek;10 000 až 19 999;
Počet obyvatel;2024;Písek;20 000 až 49 999;
Počet obyvatel;2024;Písek;50 000 až 99 999;
Počet obyvatel;2024;Písek;100 000 a více;
Počet obyvatel;2024;Prachatice;Celkem;33775.0
Počet obyvatel;2024;Prachatice;méně než 200;
