Kraje,Ukazatel,Roky,value
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2042,8.7785715079
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2043,8.6907415735
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2044,8.5984471531
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2045,8.5048876961
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2046,8.413228592
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2047,8.3263707981
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2048,8.2468903401
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2049,8.1771055154
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2050,8.1187534074
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2051,8.0729083506
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2052,8.0405595862
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2053,8.0229464108
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2054,8.0211220473
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2055,8.0358964277
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2056,8.0672758725
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2057,8.1137188825
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2058,8.1728254682
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2059,8.2421451535
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2060,8.3190876172
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2061,8.4011268265
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2062,8.4861227273
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2063,8.5721210961
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2064,8.6573615973
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2065,8.7404971752
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2066,8.8202230291
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2067,8.8946284117
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2068,8.961245708
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2069,9.0176814965
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2070,9.0618759355
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2071,9.0920970855
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2072,9.1070314174
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2073,9.106376745
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2074,9.0913478949
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2075,9.0643245183
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2076,9.0284926957
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2077,8.9874826235
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2078,8.9448383588
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2079,8.9033937235
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2080,8.8652480843
Hlavní město Praha,Hrubá míra úmrtnosti (‰),2081,
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2025,-0.4412450424
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2026,-0.4517476529
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2027,-0.4507945433
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2028,-0.4080699139
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2029,-0.2912116933
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2030,-0.1511514323
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2031,-0.1490822444
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2032,-0.1198279452
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2033,-0.0650778844
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2034,0.0131786775
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2035,0.1117836478
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2036,0.2264542632
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2037,0.3531485679
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2038,0.4866526636
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2039,0.6219138866
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2040,0.7547674339
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2041,0.88055548
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2042,0.9952037028
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2043,1.0951117725
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2044,1.1777708398
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2045,1.2417871417
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2046,1.2863538471
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2047,1.3105627915
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2048,1.313131273
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2049,1.2926819376
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2050,1.2486141841
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2051,1.1718039296
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2052,1.0714283988
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2053,0.9485477229
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2054,0.8062376816
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2055,0.6500041907
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2056,0.486757303
Hlavní město Praha,Hrubá míra přirozeného přírůstku (‰),2057,0.3236796485
