Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2013,2404358.25979541
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2014,2491891.82882854
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2015,2601037.60675394
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2016,2706692.6803401
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2017,2952590.65305941
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2018,3153521.25265913
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2019,3371900.12660178
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2020,3175238.11460812
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2021,3623737.35684583
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2022,4395172.52904035
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Čistý obrat (Výnosy celkem) (mil. Kč),2023,4647188.981161663
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2008,2066817.49165582
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2009,1961669.38441829
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2010,2016276.16394767
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2011,2051655.23528913
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2012,2070510.38970375
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2013,2086625.10552603
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2014,2178548.00490779
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2015,2268791.53945551
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2016,2378585.84047802
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2017,2570336.22438105
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2018,2762053.13724987
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2019,2918685.62387369
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2020,2667050.02901737
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2021,3060965.29065828
