Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q2 2025,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4123.3517122426
Česko,Q1-Q2 2025,K - Peněžnictví a pojišťovnictví,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.3557333759
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),45.3246758237
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),3.6147890726
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),108.6665041652
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),47400.9640646328
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),4772.3619725759
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),111.1952110517
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),50.1635961815
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),4.3317161977
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),109.4513168545
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42828.5349037415
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4033.8320409855
Česko,Q1-Q2 2025,L - Činnosti v oblasti nemovitostí,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),110.3978938961
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),174.4926308468
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),2.6368219386
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.5343222643
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),62281.0992288222
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),6442.0828698595
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),111.5368845834
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),190.5567807093
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),3.849107979
Česko,Q1-Q2 2025,"M - Profesní, vědecké a technické činnosti",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.0615692557
