Ukazatel,Území,Typ údaje,Odvětví,Měsíce,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2006,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2006,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2006,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2006,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2006,92.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2006,92.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2007,93.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2007,93.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2008,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2008,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2008,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2008,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2008,95.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2008,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2008,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2008,95.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2008,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2008,95.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2008,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2008,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2009,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2009,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2009,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2009,97.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2009,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2009,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2010,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2010,96.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2010,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2010,97.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2010,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2010,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2010,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2010,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2010,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2010,97.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2010,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2010,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2011,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2011,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2011,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2011,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2011,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2011,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2011,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2011,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2011,97.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2011,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2011,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2011,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2012,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2012,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2012,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2012,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2012,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2012,97.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2012,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2012,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2012,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2012,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2012,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2012,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2013,97.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2013,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2013,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2013,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2013,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2013,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2013,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2014,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2014,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2014,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2014,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2014,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2014,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2014,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2014,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2014,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2014,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2014,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2014,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2015,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2015,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2015,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2015,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2015,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2016,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2016,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2016,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2016,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2016,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2017,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2017,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2017,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2017,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2017,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2017,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2017,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2017,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2017,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2017,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2018,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2018,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2018,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2018,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2018,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2018,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2018,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2018,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2018,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2018,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2018,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2018,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2019,101.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2019,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2019,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2019,102.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2019,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2019,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2019,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2019,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2019,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2019,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2019,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2019,102.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2020,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2020,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2020,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2020,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2020,104.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2020,105.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2020,105.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2020,104.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2020,105.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2020,106.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2020,105.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2020,106.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2021,106.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2021,106.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2021,107.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2021,108.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2021,108.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2021,110.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2021,112.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2021,112.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2021,113.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2021,114.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2021,114.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2021,114.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2022,118.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2022,121.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2022,122.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2022,123.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2022,124.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2022,125.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2022,126.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2022,126.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2022,127.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2022,129.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2022,129.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2022,129.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2023,132.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2023,132.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2023,132.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2023,132.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2023,133.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2023,132.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2023,132.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2023,132.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2023,132.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2023,133.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2023,133.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2023,133.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2024,135.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2024,135.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2024,136.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2024,136.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2024,134.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2024,134.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2024,134.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2024,134.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,září 2024,134.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,říjen 2024,134.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,listopad 2024,134.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,prosinec 2024,135.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,leden 2025,135.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,únor 2025,136.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,březen 2025,137.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,duben 2025,137.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,květen 2025,137.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červen 2025,138.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,červenec 2025,137.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,srpen 2025,137.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží krátkodobé spotřeby,leden 2000,82.8
