Ukazatel;Území;Roky;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2022;11343.833
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2021;8298.931
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2020;8422.824
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2019;8804.407
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2018;7969.105
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2017;7629.164
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2016;7942.771
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2015;9148.705
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2014;6230.316
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2013;6706.019
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2012;7578.828
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2011;8231.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2010;8607.252
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2009;8973.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2008;9873.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2007;8289.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2006;8379.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2005;8476.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2004;8147.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2003;7856.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2002;6474.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2001;6891.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;2000;6385.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;1999;5710.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Liberecký kraj;1998;5503.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2023;17417.455
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2022;19345.991
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2021;17786.336
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2020;15549.183
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2019;13505.817
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2018;12202.178
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2017;10754.547
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2016;9932.479
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2015;12329.897
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2014;9428.279
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2013;7703.798
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2012;10294.041
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2011;8379.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2010;9761.342
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2009;12685.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2008;11769.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2007;13220.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2006;13378.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2005;10782.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2004;12906.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2003;10864.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2002;10631.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2001;12005.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;2000;12285.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;1999;7740.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Královéhradecký kraj;1998;8692.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2023;23601.576
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2022;23368.544
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2021;18845.665
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2020;15468.713
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2019;13174.271
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2018;11180.106
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2017;9905.117
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2016;11168.235
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2015;12365.681
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2014;10807.406
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2013;7498.854
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2012;8213.919
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2011;8384.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2010;9226.941
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2009;11121.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2008;13231.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2007;9619.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2006;11945.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2005;11850.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2004;11105.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2003;9993.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2002;8475.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2001;7656.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;2000;7467.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;1999;6278.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Pardubický kraj;1998;8476.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2023;17117.349
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2022;16450.943
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2021;16066.99
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2020;17468.964
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2019;15398.357
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2018;12078.419
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2017;11528.167
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2016;11128.281
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2015;12123.793
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2014;11901.891
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2013;8865.85
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2012;9826.562
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2011;10051.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2010;8870.767
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2009;11338.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2008;12673.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Kraj Vysočina;2007;12738.0
