Ukazatel,Typ údaje,Území,CZ-COICOP,Měsíce,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Doprava,srpen 2025,135.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,srpen 2024,96.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,září 2024,97.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,říjen 2024,97.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,listopad 2024,96.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,prosinec 2024,97.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,leden 2025,96.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,únor 2025,97.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,březen 2025,96.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,duben 2025,97.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,květen 2025,97.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,červen 2025,97.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,červenec 2025,97.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Pošty a telekomunikace,srpen 2025,97.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,srpen 2024,147.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,září 2024,139.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,říjen 2024,140.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,listopad 2024,139.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,prosinec 2024,139.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,leden 2025,142.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,únor 2025,145.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,březen 2025,143.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,duben 2025,142.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,květen 2025,143.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,červen 2025,144.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Rekreace a kultura,červenec 2025,152.6
