Území;Ukazatel;Typ ceny;Očištění;CZCPA;Čtvrtletí;value
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2016;11258.719634
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2016;9314.106198
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2016;10259.205598
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2016;9477.859741
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2015;10502.871567
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2015;10300.820551
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2015;11580.743874
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2015;11162.644136
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2014;10506.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2014;9443.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2014;8696.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2014;11356.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2013;10882.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2013;9103.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2013;8466.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2013;8962.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2012;9486.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2012;8389.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2012;8138.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2012;10029.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2011;8523.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2011;7341.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2011;6209.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;1. čtvrtletí 2011;7588.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;4. čtvrtletí 2010;6672.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;3. čtvrtletí 2010;6044.0
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;Bez očištění;01 Produkty zemědělství a myslivosti a související služby;2. čtvrtletí 2010;4880.0
