Území;Kumulace čtvrtletí;Ukazatel;value
Česko;Q1 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.5
Česko;Q1-Q2 2004;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3818.0
Česko;Q1-Q2 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.9
Česko;Q1-Q2 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);16731.0
Česko;Q1-Q2 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.2
Česko;Q1-Q2 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3940.8
Česko;Q1-Q2 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.7
Česko;Q1-Q2 2004;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);16210.0
Česko;Q1-Q2 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2004;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);106.3
Česko;Q1-Q3 2004;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3832.0
Česko;Q1-Q3 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2004;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0
Česko;Q1-Q3 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);16885.0
Česko;Q1-Q3 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2004;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.4
Česko;Q1-Q3 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3953.3
Česko;Q1-Q3 2004;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
