Území;Ukazatel;PRODCOM;Roky;value
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);2000;54144.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1999;55227.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1998;42600.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1997;36442.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1996;41805.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1995;37438.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1994;32924.0
Česko;Produkce průmyslových výrobků;Brambory upravené a konzervované (t);1993;19529.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2022;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2021;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2020;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2019;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2018;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2017;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2016;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2015;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2014;20320.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2013;16300.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2012;15753.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2011;13419.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2010;13016.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2009;22131.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2008;27424.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2007;28409.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2006;17042.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2005;18282.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2004;22514.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2003;
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2002;19301.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2001;20511.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);2000;17546.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1999;17727.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1998;25614.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1997;21641.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1996;22997.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1995;18250.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1994;17030.0
Česko;Produkce průmyslových výrobků;Zelenina zmrazená (kromě brambor) (t);1993;18050.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2022;32806.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2021;30894.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2020;36245.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2019;37216.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2018;37918.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2017;36683.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2016;37259.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2015;42695.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2014;39431.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2013;39218.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2012;36570.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2011;34988.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2010;35843.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2009;34582.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2008;29798.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2007;31926.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2006;31696.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2005;29113.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2004;28608.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2003;
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2002;30701.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2001;25589.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);2000;23701.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);1999;23261.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);1998;24167.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);1997;24215.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);1996;19581.0
Česko;Produkce průmyslových výrobků;Džemy, želé, marmelády (t);1995;18150.0
