Roky;Realizace stavby;Území;Ukazatel;value
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";3899.138
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";9676.84
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";70.603
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";2060.032
2023;Místo realizace stavby;Olomoucký kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";10806.282
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";20194.006
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";2036.01
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";2001.157
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";2576.246
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";12333.221
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";66.985
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";1180.387
2023;Místo realizace stavby;Zlínský kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";12377.281
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";35632.006
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";3790.216
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";6615.388
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";7117.17
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";13687.609
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";458.61
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";3963.013
2023;Místo realizace stavby;Moravskoslezský kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";16064.548
