Ukazatel;ČR a kraje;Věkové skupiny (pětileté);Roky;value
Přistěhovalí;Česko;65 - 69;2014;417.0
Přistěhovalí;Česko;65 - 69;2013;330.0
Přistěhovalí;Česko;65 - 69;2012;323.0
Přistěhovalí;Česko;65 - 69;2011;244.0
Přistěhovalí;Česko;65 - 69;2010;253.0
Přistěhovalí;Česko;65 - 69;2009;299.0
Přistěhovalí;Česko;65 - 69;2008;413.0
Přistěhovalí;Česko;65 - 69;2007;496.0
Přistěhovalí;Česko;65 - 69;2006;233.0
Přistěhovalí;Česko;65 - 69;2005;259.0
Přistěhovalí;Česko;65 - 69;2004;295.0
Přistěhovalí;Česko;65 - 69;2003;201.0
Přistěhovalí;Česko;65 - 69;2002;204.0
Přistěhovalí;Česko;65 - 69;2001;117.0
Přistěhovalí;Česko;65 - 69;2000;202.0
Přistěhovalí;Česko;70 - 74;2024;
Přistěhovalí;Česko;70 - 74;2023;1225.0
Přistěhovalí;Česko;70 - 74;2022;3237.0
Přistěhovalí;Česko;70 - 74;2021;312.0
Přistěhovalí;Česko;70 - 74;2020;268.0
Přistěhovalí;Česko;70 - 74;2019;253.0
Přistěhovalí;Česko;70 - 74;2018;248.0
Přistěhovalí;Česko;70 - 74;2017;227.0
Přistěhovalí;Česko;70 - 74;2016;210.0
Přistěhovalí;Česko;70 - 74;2015;217.0
Přistěhovalí;Česko;70 - 74;2014;212.0
Přistěhovalí;Česko;70 - 74;2013;158.0
Přistěhovalí;Česko;70 - 74;2012;139.0
Přistěhovalí;Česko;70 - 74;2011;140.0
Přistěhovalí;Česko;70 - 74;2010;186.0
Přistěhovalí;Česko;70 - 74;2009;155.0
Přistěhovalí;Česko;70 - 74;2008;235.0
Přistěhovalí;Česko;70 - 74;2007;250.0
Přistěhovalí;Česko;70 - 74;2006;139.0
Přistěhovalí;Česko;70 - 74;2005;116.0
Přistěhovalí;Česko;70 - 74;2004;165.0
Přistěhovalí;Česko;70 - 74;2003;142.0
Přistěhovalí;Česko;70 - 74;2002;108.0
Přistěhovalí;Česko;70 - 74;2001;111.0
Přistěhovalí;Česko;70 - 74;2000;119.0
Přistěhovalí;Česko;75 - 79;2024;
Přistěhovalí;Česko;75 - 79;2023;555.0
Přistěhovalí;Česko;75 - 79;2022;1238.0
Přistěhovalí;Česko;75 - 79;2021;170.0
Přistěhovalí;Česko;75 - 79;2020;145.0
Přistěhovalí;Česko;75 - 79;2019;137.0
Přistěhovalí;Česko;75 - 79;2018;128.0
Přistěhovalí;Česko;75 - 79;2017;121.0
Přistěhovalí;Česko;75 - 79;2016;128.0
Přistěhovalí;Česko;75 - 79;2015;119.0
Přistěhovalí;Česko;75 - 79;2014;122.0
Přistěhovalí;Česko;75 - 79;2013;81.0
Přistěhovalí;Česko;75 - 79;2012;57.0
Přistěhovalí;Česko;75 - 79;2011;58.0
Přistěhovalí;Česko;75 - 79;2010;74.0
Přistěhovalí;Česko;75 - 79;2009;73.0
Přistěhovalí;Česko;75 - 79;2008;89.0
Přistěhovalí;Česko;75 - 79;2007;126.0
Přistěhovalí;Česko;75 - 79;2006;65.0
Přistěhovalí;Česko;75 - 79;2005;67.0
Přistěhovalí;Česko;75 - 79;2004;102.0
Přistěhovalí;Česko;75 - 79;2003;83.0
Přistěhovalí;Česko;75 - 79;2002;81.0
Přistěhovalí;Česko;75 - 79;2001;66.0
Přistěhovalí;Česko;75 - 79;2000;82.0
Přistěhovalí;Česko;80 - 84;2024;
Přistěhovalí;Česko;80 - 84;2023;300.0
Přistěhovalí;Česko;80 - 84;2022;832.0
Přistěhovalí;Česko;80 - 84;2021;118.0
Přistěhovalí;Česko;80 - 84;2020;69.0
Přistěhovalí;Česko;80 - 84;2019;74.0
Přistěhovalí;Česko;80 - 84;2018;50.0
Přistěhovalí;Česko;80 - 84;2017;71.0
Přistěhovalí;Česko;80 - 84;2016;67.0
Přistěhovalí;Česko;80 - 84;2015;71.0
Přistěhovalí;Česko;80 - 84;2014;63.0
Přistěhovalí;Česko;80 - 84;2013;63.0
Přistěhovalí;Česko;80 - 84;2012;39.0
Přistěhovalí;Česko;80 - 84;2011;51.0
Přistěhovalí;Česko;80 - 84;2010;51.0
Přistěhovalí;Česko;80 - 84;2009;48.0
Přistěhovalí;Česko;80 - 84;2008;62.0
Přistěhovalí;Česko;80 - 84;2007;93.0
Přistěhovalí;Česko;80 - 84;2006;43.0
Přistěhovalí;Česko;80 - 84;2005;44.0
Přistěhovalí;Česko;80 - 84;2004;74.0
Přistěhovalí;Česko;80 - 84;2003;51.0
Přistěhovalí;Česko;80 - 84;2002;30.0
Přistěhovalí;Česko;80 - 84;2001;28.0
Přistěhovalí;Česko;80 - 84;2000;31.0
Přistěhovalí;Česko;85 - 89;2024;
Přistěhovalí;Česko;85 - 89;2023;108.0
Přistěhovalí;Česko;85 - 89;2022;257.0
Přistěhovalí;Česko;85 - 89;2021;55.0
Přistěhovalí;Česko;85 - 89;2020;38.0
Přistěhovalí;Česko;85 - 89;2019;32.0
Přistěhovalí;Česko;85 - 89;2018;49.0
Přistěhovalí;Česko;85 - 89;2017;46.0
Přistěhovalí;Česko;85 - 89;2016;43.0
Přistěhovalí;Česko;85 - 89;2015;38.0
Přistěhovalí;Česko;85 - 89;2014;32.0
Přistěhovalí;Česko;85 - 89;2013;35.0
Přistěhovalí;Česko;85 - 89;2012;16.0
Přistěhovalí;Česko;85 - 89;2011;29.0
Přistěhovalí;Česko;85 - 89;2010;29.0
Přistěhovalí;Česko;85 - 89;2009;29.0
Přistěhovalí;Česko;85 - 89;2008;30.0
Přistěhovalí;Česko;85 - 89;2007;29.0
Přistěhovalí;Česko;85 - 89;2006;17.0
Přistěhovalí;Česko;85 - 89;2005;6.0
Přistěhovalí;Česko;85 - 89;2004;24.0
Přistěhovalí;Česko;85 - 89;2003;14.0
Přistěhovalí;Česko;85 - 89;2002;14.0
Přistěhovalí;Česko;85 - 89;2001;17.0
Přistěhovalí;Česko;85 - 89;2000;10.0
Přistěhovalí;Česko;90 - 94;2024;
Přistěhovalí;Česko;90 - 94;2023;17.0
Přistěhovalí;Česko;90 - 94;2022;60.0
Přistěhovalí;Česko;90 - 94;2021;22.0
Přistěhovalí;Česko;90 - 94;2020;10.0
Přistěhovalí;Česko;90 - 94;2019;11.0
Přistěhovalí;Česko;90 - 94;2018;11.0
Přistěhovalí;Česko;90 - 94;2017;12.0
Přistěhovalí;Česko;90 - 94;2016;19.0
Přistěhovalí;Česko;90 - 94;2015;12.0
Přistěhovalí;Česko;90 - 94;2014;7.0
Přistěhovalí;Česko;90 - 94;2013;18.0
