Regiony;Roky (regiony soudržnosti);Pohlaví;Věk (roky);Ukazatel;value
Střední Čechy;2023;muži;33;Pomocný ukazatel (Tx);4411843.232
Střední Čechy;2023;muži;33;Naděje dožití (ex);44.81315367
Střední Čechy;2023;muži;34;Počet zemřelých (Dx);14.0
Střední Čechy;2023;muži;34;Počet obyvatel (Px);9471.0
Střední Čechy;2023;muži;34;Míra úmrtnosti (mx);0.001191043
Střední Čechy;2023;muži;34;Pravděpodobnost úmrtí (qx);0.001190334
Střední Čechy;2023;muži;34;Tabulkový počet dožívajících (lx);98337.15124
Střední Čechy;2023;muži;34;Tabulkový počet zemřelých (dx);117.0540157
Střední Čechy;2023;muži;34;Tabulkový počet žijících (Lx);98278.62424
Střední Čechy;2023;muži;34;Pomocný ukazatel (Tx);4313449.788
Střední Čechy;2023;muži;34;Naděje dožití (ex);43.86388799
Střední Čechy;2023;muži;35;Počet zemřelých (Dx);13.0
Střední Čechy;2023;muži;35;Počet obyvatel (Px);9550.0
Střední Čechy;2023;muži;35;Míra úmrtnosti (mx);0.001238923
Střední Čechy;2023;muži;35;Pravděpodobnost úmrtí (qx);0.001238156
Střední Čechy;2023;muži;35;Tabulkový počet dožívajících (lx);98220.09723
Střední Čechy;2023;muži;35;Tabulkový počet zemřelých (dx);121.6118355
Střední Čechy;2023;muži;35;Tabulkový počet žijících (Lx);98159.29131
Střední Čechy;2023;muži;35;Pomocný ukazatel (Tx);4215171.164
Střední Čechy;2023;muži;35;Naděje dožití (ex);42.915567
Střední Čechy;2023;muži;36;Počet zemřelých (Dx);12.0
Střední Čechy;2023;muži;36;Počet obyvatel (Px);9765.0
Střední Čechy;2023;muži;36;Míra úmrtnosti (mx);0.001290583
Střední Čechy;2023;muži;36;Pravděpodobnost úmrtí (qx);0.001289751
Střední Čechy;2023;muži;36;Tabulkový počet dožívajících (lx);98098.48539
Střední Čechy;2023;muži;36;Tabulkový počet zemřelých (dx);126.5226074
Střední Čechy;2023;muži;36;Tabulkový počet žijících (Lx);98035.22409
Střední Čechy;2023;muži;36;Pomocný ukazatel (Tx);4117011.872
Střední Čechy;2023;muži;36;Naděje dožití (ex);41.96814921
Střední Čechy;2023;muži;37;Počet zemřelých (Dx);9.0
Střední Čechy;2023;muži;37;Počet obyvatel (Px);10116.0
Střední Čechy;2023;muži;37;Míra úmrtnosti (mx);0.001349429
Střední Čechy;2023;muži;37;Pravděpodobnost úmrtí (qx);0.001348519
Střední Čechy;2023;muži;37;Tabulkový počet dožívajících (lx);97971.96279
Střední Čechy;2023;muži;37;Tabulkový počet zemřelých (dx);132.1170132
Střední Čechy;2023;muži;37;Tabulkový počet žijících (Lx);97905.90428
Střední Čechy;2023;muži;37;Pomocný ukazatel (Tx);4018976.648
Střední Čechy;2023;muži;37;Naděje dožití (ex);41.02170186
Střední Čechy;2023;muži;38;Počet zemřelých (Dx);13.0
Střední Čechy;2023;muži;38;Počet obyvatel (Px);10328.0
Střední Čechy;2023;muži;38;Míra úmrtnosti (mx);0.001418361
Střední Čechy;2023;muži;38;Pravděpodobnost úmrtí (qx);0.001417356
Střední Čechy;2023;muži;38;Tabulkový počet dožívajících (lx);97839.84577
Střední Čechy;2023;muži;38;Tabulkový počet zemřelých (dx);138.6738954
Střední Čechy;2023;muži;38;Tabulkový počet žijících (Lx);97770.50883
Střední Čechy;2023;muži;38;Pomocný ukazatel (Tx);3921070.744
Střední Čechy;2023;muži;38;Naděje dožití (ex);40.07641992
Střední Čechy;2023;muži;39;Počet zemřelých (Dx);12.0
Střední Čechy;2023;muži;39;Počet obyvatel (Px);10376.0
Střední Čechy;2023;muži;39;Míra úmrtnosti (mx);0.001497709
Střední Čechy;2023;muži;39;Pravděpodobnost úmrtí (qx);0.001496588
Střední Čechy;2023;muži;39;Tabulkový počet dožívajících (lx);97701.17188
Střední Čechy;2023;muži;39;Tabulkový počet zemřelých (dx);146.2184286
Střední Čechy;2023;muži;39;Tabulkový počet žijících (Lx);97628.06266
Střední Čechy;2023;muži;39;Pomocný ukazatel (Tx);3823300.235
Střední Čechy;2023;muži;39;Naděje dožití (ex);39.13259341
Střední Čechy;2023;muži;40;Počet zemřelých (Dx);15.0
Střední Čechy;2023;muži;40;Počet obyvatel (Px);10494.0
Střední Čechy;2023;muži;40;Míra úmrtnosti (mx);0.001587277
Střední Čechy;2023;muži;40;Pravděpodobnost úmrtí (qx);0.001586019
Střední Čechy;2023;muži;40;Tabulkový počet dožívajících (lx);97554.95345
Střední Čechy;2023;muži;40;Tabulkový počet zemřelých (dx);154.7239787
Střední Čechy;2023;muži;40;Tabulkový počet žijících (Lx);97477.59146
Střední Čechy;2023;muži;40;Pomocný ukazatel (Tx);3725672.172
Střední Čechy;2023;muži;40;Naděje dožití (ex);38.19049716
Střední Čechy;2023;muži;41;Počet zemřelých (Dx);30.0
Střední Čechy;2023;muži;41;Počet obyvatel (Px);10713.0
Střední Čechy;2023;muži;41;Míra úmrtnosti (mx);0.001687161
Střední Čechy;2023;muži;41;Pravděpodobnost úmrtí (qx);0.001685739
Střední Čechy;2023;muži;41;Tabulkový počet dožívajících (lx);97400.22947
Střední Čechy;2023;muži;41;Tabulkový počet zemřelých (dx);164.1913791
Střední Čechy;2023;muži;41;Tabulkový počet žijících (Lx);97318.13378
Střední Čechy;2023;muži;41;Pomocný ukazatel (Tx);3628194.581
