SO ORP,Pětileté období (SO ORP),Pohlaví,Věk (roky),Ukazatel,value
Praha,2020-2024,muži,28,Míra úmrtnosti (mx),0.0004857682
Praha,2020-2024,muži,28,Pravděpodobnost úmrtí (qx),0.0004856503
Praha,2020-2024,muži,28,Tabulkový počet dožívajících (lx),99148.5898072642
Praha,2020-2024,muži,28,Tabulkový počet zemřelých (dx),48.1515391334
Praha,2020-2024,muži,28,Tabulkový počet žijících (Lx),99124.5140376975
Praha,2020-2024,muži,28,Pomocný ukazatel (Tx),4999839.53648962
Praha,2020-2024,muži,28,Naděje dožití (ex),50.4277423028
Praha,2020-2024,muži,29,Počet zemřelých (Dx),30.0
Praha,2020-2024,muži,29,Počet obyvatel (Px),45618.5
Praha,2020-2024,muži,29,Míra úmrtnosti (mx),0.0005357627
Praha,2020-2024,muži,29,Pravděpodobnost úmrtí (qx),0.0005356192
Praha,2020-2024,muži,29,Tabulkový počet dožívajících (lx),99100.4382681307
Praha,2020-2024,muži,29,Tabulkový počet zemřelých (dx),53.0801010103
Praha,2020-2024,muži,29,Tabulkový počet žijících (Lx),99073.8982176256
Praha,2020-2024,muži,29,Pomocný ukazatel (Tx),4900715.02245192
Praha,2020-2024,muži,29,Naděje dožití (ex),49.4520015057
Praha,2020-2024,muži,30,Počet zemřelých (Dx),27.0
Praha,2020-2024,muži,30,Počet obyvatel (Px),48686.5
Praha,2020-2024,muži,30,Míra úmrtnosti (mx),0.0006004172
Praha,2020-2024,muži,30,Pravděpodobnost úmrtí (qx),0.000600237
Praha,2020-2024,muži,30,Tabulkový počet dožívajících (lx),99047.3581671205
Praha,2020-2024,muži,30,Tabulkový počet zemřelých (dx),59.4518914893
Praha,2020-2024,muži,30,Tabulkový počet žijících (Lx),99017.6322213758
Praha,2020-2024,muži,30,Pomocný ukazatel (Tx),4801641.12423429
Praha,2020-2024,muži,30,Naděje dožití (ex),48.4782351906
Praha,2020-2024,muži,31,Počet zemřelých (Dx),35.0
Praha,2020-2024,muži,31,Počet obyvatel (Px),50894.0
Praha,2020-2024,muži,31,Míra úmrtnosti (mx),0.0006704439
Praha,2020-2024,muži,31,Pravděpodobnost úmrtí (qx),0.0006702193
Praha,2020-2024,muži,31,Tabulkový počet dožívajících (lx),98987.9062756311
Praha,2020-2024,muži,31,Tabulkový počet zemřelých (dx),66.3436027371
Praha,2020-2024,muži,31,Tabulkový počet žijících (Lx),98954.7344742626
Praha,2020-2024,muži,31,Pomocný ukazatel (Tx),4702623.49201292
Praha,2020-2024,muži,31,Naděje dožití (ex),47.5070507999
Praha,2020-2024,muži,32,Počet zemřelých (Dx),39.0
Praha,2020-2024,muži,32,Počet obyvatel (Px),52463.5
Praha,2020-2024,muži,32,Míra úmrtnosti (mx),0.0007336806
Praha,2020-2024,muži,32,Pravděpodobnost úmrtí (qx),0.0007334116
Praha,2020-2024,muži,32,Tabulkový počet dožívajících (lx),98921.562672894
Praha,2020-2024,muži,32,Tabulkový počet zemřelých (dx),72.550219118
Praha,2020-2024,muži,32,Tabulkový počet žijících (Lx),98885.287563335
Praha,2020-2024,muži,32,Pomocný ukazatel (Tx),4603668.75753865
Praha,2020-2024,muži,32,Naděje dožití (ex),46.5385769608
Praha,2020-2024,muži,33,Počet zemřelých (Dx),49.0
Praha,2020-2024,muži,33,Počet obyvatel (Px),53530.5
Praha,2020-2024,muži,33,Míra úmrtnosti (mx),0.0007904235
Praha,2020-2024,muži,33,Pravděpodobnost úmrtí (qx),0.0007901113
Praha,2020-2024,muži,33,Tabulkový počet dožívajících (lx),98849.012453776
Praha,2020-2024,muži,33,Tabulkový počet zemřelých (dx),78.1017188393
Praha,2020-2024,muži,33,Tabulkový počet žijících (Lx),98809.9615943563
Praha,2020-2024,muži,33,Pomocný ukazatel (Tx),4504783.46997532
Praha,2020-2024,muži,33,Naděje dožití (ex),45.5723669681
Praha,2020-2024,muži,34,Počet zemřelých (Dx),41.0
Praha,2020-2024,muži,34,Počet obyvatel (Px),54156.0
Praha,2020-2024,muži,34,Míra úmrtnosti (mx),0.0008495876
Praha,2020-2024,muži,34,Pravděpodobnost úmrtí (qx),0.0008492269
Praha,2020-2024,muži,34,Tabulkový počet dožívajících (lx),98770.9107349367
Praha,2020-2024,muži,34,Tabulkový počet zemřelých (dx),83.8789129568
Praha,2020-2024,muži,34,Tabulkový počet žijících (Lx),98728.9712784583
Praha,2020-2024,muži,34,Pomocný ukazatel (Tx),4405973.50838096
Praha,2020-2024,muži,34,Naděje dožití (ex),44.6080073131
Praha,2020-2024,muži,35,Počet zemřelých (Dx),45.0
Praha,2020-2024,muži,35,Počet obyvatel (Px),54678.0
Praha,2020-2024,muži,35,Míra úmrtnosti (mx),0.0009200839
Praha,2020-2024,muži,35,Pravděpodobnost úmrtí (qx),0.0009196609
Praha,2020-2024,muži,35,Tabulkový počet dožívajících (lx),98687.0318219799
Praha,2020-2024,muži,35,Tabulkový počet zemřelých (dx),90.7585995928
Praha,2020-2024,muži,35,Tabulkový počet žijících (Lx),98641.6525221835
Praha,2020-2024,muži,35,Pomocný ukazatel (Tx),4307244.5371025
Praha,2020-2024,muži,35,Naděje dožití (ex),43.6454968559
Praha,2020-2024,muži,36,Počet zemřelých (Dx),50.0
Praha,2020-2024,muži,36,Počet obyvatel (Px),54990.5
Praha,2020-2024,muži,36,Míra úmrtnosti (mx),0.0009990184
Praha,2020-2024,muži,36,Pravděpodobnost úmrtí (qx),0.0009985197
Praha,2020-2024,muži,36,Tabulkový počet dožívajících (lx),98596.2732223871
Praha,2020-2024,muži,36,Tabulkový počet zemřelých (dx),98.4503182486
Praha,2020-2024,muži,36,Tabulkový počet žijících (Lx),98547.0480632628
Praha,2020-2024,muži,36,Pomocný ukazatel (Tx),4208602.88458032
Praha,2020-2024,muži,36,Naděje dožití (ex),42.6852126052
Praha,2020-2024,muži,37,Počet zemřelých (Dx),74.0
Praha,2020-2024,muži,37,Počet obyvatel (Px),54841.5
Praha,2020-2024,muži,37,Míra úmrtnosti (mx),0.0010779928
Praha,2020-2024,muži,37,Pravděpodobnost úmrtí (qx),0.0010774121
Praha,2020-2024,muži,37,Tabulkový počet dožívajících (lx),98497.8229041384
Praha,2020-2024,muži,37,Tabulkový počet zemřelých (dx),106.1227440208
Praha,2020-2024,muži,37,Tabulkový počet žijících (Lx),98444.7615321281
Praha,2020-2024,muži,37,Pomocný ukazatel (Tx),4110055.83651706
Praha,2020-2024,muži,37,Naděje dožití (ex),41.7273774723
Praha,2020-2024,muži,38,Počet zemřelých (Dx),60.0
Praha,2020-2024,muži,38,Počet obyvatel (Px),54893.0
Praha,2020-2024,muži,38,Míra úmrtnosti (mx),0.0011506027
Praha,2020-2024,muži,38,Pravděpodobnost úmrtí (qx),0.0011499411
Praha,2020-2024,muži,38,Tabulkový počet dožívajících (lx),98391.7001601177
Praha,2020-2024,muži,38,Tabulkový počet zemřelých (dx),113.1446597068
Praha,2020-2024,muži,38,Tabulkový počet žijících (Lx),98335.1278302643
Praha,2020-2024,muži,38,Pomocný ukazatel (Tx),4011611.07498493
Praha,2020-2024,muži,38,Naděje dožití (ex),40.7718442557
Praha,2020-2024,muži,39,Počet zemřelých (Dx),67.0
Praha,2020-2024,muži,39,Počet obyvatel (Px),55132.0
Praha,2020-2024,muži,39,Míra úmrtnosti (mx),0.0012224976
Praha,2020-2024,muži,39,Pravděpodobnost úmrtí (qx),0.0012217508
Praha,2020-2024,muži,39,Tabulkový počet dožívajících (lx),98278.5555004108
Praha,2020-2024,muži,39,Tabulkový počet zemřelých (dx),120.0718997822
Praha,2020-2024,muži,39,Tabulkový počet žijících (Lx),98218.5195505197
Praha,2020-2024,muži,39,Pomocný ukazatel (Tx),3913275.94715467
Praha,2020-2024,muži,39,Naděje dožití (ex),39.8182078199
Praha,2020-2024,muži,40,Počet zemřelých (Dx),68.0
Praha,2020-2024,muži,40,Počet obyvatel (Px),56094.0
Praha,2020-2024,muži,40,Míra úmrtnosti (mx),0.0013034516
Praha,2020-2024,muži,40,Pravděpodobnost úmrtí (qx),0.0013026026
Praha,2020-2024,muži,40,Tabulkový počet dožívajících (lx),98158.4836006286
Praha,2020-2024,muži,40,Tabulkový počet zemřelých (dx),127.8614976656
Praha,2020-2024,muži,40,Tabulkový počet žijících (Lx),98094.5528517958
Praha,2020-2024,muži,40,Pomocný ukazatel (Tx),3815057.42760415
Praha,2020-2024,muži,40,Naděje dožití (ex),38.8663036312
Praha,2020-2024,muži,41,Počet zemřelých (Dx),84.0
Praha,2020-2024,muži,41,Počet obyvatel (Px),57718.0
Praha,2020-2024,muži,41,Míra úmrtnosti (mx),0.0014015547
Praha,2020-2024,muži,41,Pravděpodobnost úmrtí (qx),0.0014005732
Praha,2020-2024,muži,41,Tabulkový počet dožívajících (lx),98030.622102963
Praha,2020-2024,muži,41,Tabulkový počet zemřelých (dx),137.2990592715
Praha,2020-2024,muži,41,Tabulkový počet žijících (Lx),97961.9725733272
Praha,2020-2024,muži,41,Pomocný ukazatel (Tx),3716962.87475235
