Ukazatel;Typ údaje;Území;Měsíce;Spotřební skupina;value
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2016;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2016;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2016;Zboží úhrnem;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2016;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2015;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2015;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2015;Zboží úhrnem;99.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2015;Služby;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2015;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2015;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2015;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2015;Služby;99.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2015;Zboží úhrnem;99.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2015;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2015;Zboží úhrnem;99.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2015;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2015;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2015;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2015;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2015;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2015;Zboží úhrnem;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2015;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2015;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2015;Služby;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2015;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2015;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2015;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2015;Služby;100.0
