Ukazatel;Území;Klasifikace CZ-CPA;Typ údaje;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2023;105.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2023;105.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2023;105.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2023;105.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2023;105.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2023;104.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2024;104.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2024;104.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2024;104.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2024;103.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2024;103.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2024;103.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2024;103.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2024;103.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2024;103.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2024;103.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2024;103.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2024;103.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2025;103.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2025;103.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2025;103.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2025;104.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);leden 2015;99.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);únor 2015;99.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);březen 2015;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);duben 2015;100.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);květen 2015;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);červen 2015;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);červenec 2015;99.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);srpen 2015;99.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Bazický index (2015 = 100);září 2015;100.2
