Typ indexu;Ukazatel;Očištění;Území;CZ NACE;Čtvrtletí;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2017;103.1693551374
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2017;102.9740219833
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2018;105.1550696811
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2018;102.755310188
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2018;103.1402901926
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2018;100.5305563775
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2019;98.1555506912
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2019;101.752901696
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2019;100.7123468447
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2019;102.4301484057
