Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),5.2689392103
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),104.6387974249
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),26923.5587890903
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2418.8430124792
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),109.8709286593
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),126.6546159284
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.7999567463
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),104.7991172087
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),25265.1547726775
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2234.6184218119
Česko,2024,"I - Ubytování, stravování a pohostinství",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),109.7028501107
Česko,2024,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),137.0371507664
Česko,2024,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.3999880949
Česko,2024,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.708966515
Česko,2024,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),83194.2439022672
Česko,2024,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),6683.4253494791
Česko,2024,J - Informační a komunikační činnosti,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.735268392
Česko,2024,J - Informační a komunikační činnosti,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),141.592532082
