Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,červen 2023,Meziroční index (%) - neočištěno,99.9710579072
Česko,Průmysl celkem,červen 2023,Meziroční index (%) - očištěno o kalendářní vlivy,99.9520349246
Česko,Průmysl celkem,červen 2023,Meziměsíční index (%) - sezónně očištěno,100.9428498273
Česko,Průmysl celkem,červen 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,květen 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,104.0177575
Česko,Průmysl celkem,květen 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,103.11187795
Česko,Průmysl celkem,květen 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.3192231
Česko,Průmysl celkem,květen 2023,Meziroční index (%) - neočištěno,97.0735969736
Česko,Průmysl celkem,květen 2023,Meziroční index (%) - očištěno o kalendářní vlivy,100.0552233447
Česko,Průmysl celkem,květen 2023,Meziměsíční index (%) - sezónně očištěno,100.7984641342
Česko,Průmysl celkem,květen 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,duben 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,94.74321367
Česko,Průmysl celkem,duben 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,100.41718664
Česko,Průmysl celkem,duben 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.51663383
Česko,Průmysl celkem,duben 2023,Meziroční index (%) - neočištěno,97.8255146294
Česko,Průmysl celkem,duben 2023,Meziroční index (%) - očištěno o kalendářní vlivy,100.8409203993
Česko,Průmysl celkem,duben 2023,Meziměsíční index (%) - sezónně očištěno,97.805498975
Česko,Průmysl celkem,duben 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,březen 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,115.76328435
Česko,Průmysl celkem,březen 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,111.11113436
Česko,Průmysl celkem,březen 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.77196567
Česko,Průmysl celkem,březen 2023,Meziroční index (%) - neočištěno,102.1917507855
Česko,Průmysl celkem,březen 2023,Meziroční index (%) - očištěno o kalendářní vlivy,102.0432793275
Česko,Průmysl celkem,březen 2023,Meziměsíční index (%) - sezónně očištěno,101.9212580581
Česko,Průmysl celkem,březen 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,únor 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,97.4402418
Česko,Průmysl celkem,únor 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,97.4402418
Česko,Průmysl celkem,únor 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.83467142
Česko,Průmysl celkem,únor 2023,Meziroční index (%) - neočištěno,101.7125556979
Česko,Průmysl celkem,únor 2023,Meziroční index (%) - očištěno o kalendářní vlivy,101.7125556979
Česko,Průmysl celkem,únor 2023,Meziměsíční index (%) - sezónně očištěno,100.6883610116
Česko,Průmysl celkem,únor 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,leden 2023,Bazický index (průměr roku 2021=100) (%) - neočištěno ,97.67502682
Česko,Průmysl celkem,leden 2023,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,96.07852721
Česko,Průmysl celkem,leden 2023,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.14531015
Česko,Průmysl celkem,leden 2023,Meziroční index (%) - neočištěno,100.5697369326
Česko,Průmysl celkem,leden 2023,Meziroční index (%) - očištěno o kalendářní vlivy,97.7302962166
Česko,Průmysl celkem,leden 2023,Meziměsíční index (%) - sezónně očištěno,97.3771492171
Česko,Průmysl celkem,leden 2023,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,prosinec 2022,Bazický index (průměr roku 2021=100) (%) - neočištěno ,98.33857924
Česko,Průmysl celkem,prosinec 2022,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,95.60242912
Česko,Průmysl celkem,prosinec 2022,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.84272127
Česko,Průmysl celkem,prosinec 2022,Meziroční index (%) - neočištěno,101.578727851
