Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Kumulace měsíců,value
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – duben 2023,123.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – květen 2023,123.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – červen 2023,123.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – červenec 2023,123.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – srpen 2023,123.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – září 2023,123.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – říjen 2023,123.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – listopad 2023,123.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – prosinec 2023,123.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden 2024,127.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – únor 2024,127.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – březen 2024,127.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – duben 2024,128.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – květen 2024,128.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – červen 2024,128.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – červenec 2024,128.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – srpen 2024,128.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – září 2024,128.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – říjen 2024,128.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – listopad 2024,128.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vydavatelské služby,leden – prosinec 2024,128.9
