Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2014,112.6181542797
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2015,113.1188768651
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2016,108.6321699221
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2017,102.3136668478
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2018,98.7062736208
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2019,100.6014814302
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2020,85.9000938996
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2021,106.5363465439
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2022,95.8735531156
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2023,104.8167052147
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů",2024,100.7499752477
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2001,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2002,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2003,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2004,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45.1 Obchod s motorovými vozidly, kromě motocyklů",2005,
