Území,Roky,Země,Ukazatel,value
Česko,2024,Bhútán,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bhútán,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bhútán,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bhútán,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bhútán,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bhútán,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bhútán,Obrat pohybu zboží (meziroční index),
Česko,2024,Bolívarovská republika Venezuela,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bolívarovská republika Venezuela,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bolívarovská republika Venezuela,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bolívarovská republika Venezuela,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bolívarovská republika Venezuela,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bolívarovská republika Venezuela,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bolívarovská republika Venezuela,Obrat pohybu zboží (meziroční index),
Česko,2024,"Bonaire, Svatý Eustach a Saba","Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,"Bonaire, Svatý Eustach a Saba","Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,"Bonaire, Svatý Eustach a Saba",Bilance - pohyb zboží (v mil. Kč),
Česko,2024,"Bonaire, Svatý Eustach a Saba",Obrat - pohyb zboží (v mil. Kč),
Česko,2024,"Bonaire, Svatý Eustach a Saba",Pohyb zboží z ČR (meziroční index ),
Česko,2024,"Bonaire, Svatý Eustach a Saba",Pohyb zboží do ČR (meziroční index),
Česko,2024,"Bonaire, Svatý Eustach a Saba",Obrat pohybu zboží (meziroční index),
Česko,2024,Bosna a Hercegovina,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bosna a Hercegovina,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bosna a Hercegovina,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bosna a Hercegovina,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bosna a Hercegovina,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bosna a Hercegovina,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bosna a Hercegovina,Obrat pohybu zboží (meziroční index),
Česko,2024,Botswana,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Botswana,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Botswana,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Botswana,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Botswana,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Botswana,Pohyb zboží do ČR (meziroční index),
Česko,2024,Botswana,Obrat pohybu zboží (meziroční index),
Česko,2024,Bouvetův ostrov,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Bouvetův ostrov,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Bouvetův ostrov,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Bouvetův ostrov,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Bouvetův ostrov,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Bouvetův ostrov,Pohyb zboží do ČR (meziroční index),
Česko,2024,Bouvetův ostrov,Obrat pohybu zboží (meziroční index),
Česko,2024,Brazílie,"Pohyb zboží z ČR (v mil. Kč, FOB)",11843.085209
Česko,2024,Brazílie,"Pohyb zboží do ČR (v mil. Kč, CIF)",5991.786345
Česko,2024,Brazílie,Bilance - pohyb zboží (v mil. Kč),5851.298864
Česko,2024,Brazílie,Obrat - pohyb zboží (v mil. Kč),17834.871554
Česko,2024,Brazílie,Pohyb zboží z ČR (meziroční index ),122.2083766965
Česko,2024,Brazílie,Pohyb zboží do ČR (meziroční index),84.8452055439
Česko,2024,Brazílie,Obrat pohybu zboží (meziroční index),106.4583123207
Česko,2024,Britské indickooceánské území,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Britské indickooceánské území,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Britské indickooceánské území,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Britské indickooceánské území,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Britské indickooceánské území,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Britské indickooceánské území,Pohyb zboží do ČR (meziroční index),
Česko,2024,Britské indickooceánské území,Obrat pohybu zboží (meziroční index),
Česko,2024,Britské Panenské ostrovy,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Britské Panenské ostrovy,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Britské Panenské ostrovy,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Britské Panenské ostrovy,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Britské Panenské ostrovy,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Britské Panenské ostrovy,Pohyb zboží do ČR (meziroční index),
Česko,2024,Britské Panenské ostrovy,Obrat pohybu zboží (meziroční index),
Česko,2024,Brunej Darussalam,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Brunej Darussalam,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Brunej Darussalam,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Brunej Darussalam,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Brunej Darussalam,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Brunej Darussalam,Pohyb zboží do ČR (meziroční index),
Česko,2024,Brunej Darussalam,Obrat pohybu zboží (meziroční index),
Česko,2024,Bulharsko,"Pohyb zboží z ČR (v mil. Kč, FOB)",35684.999144
Česko,2024,Bulharsko,"Pohyb zboží do ČR (v mil. Kč, CIF)",31773.796984
Česko,2024,Bulharsko,Bilance - pohyb zboží (v mil. Kč),3911.20216
Česko,2024,Bulharsko,Obrat - pohyb zboží (v mil. Kč),67458.796128
Česko,2024,Bulharsko,Pohyb zboží z ČR (meziroční index ),99.8552076201
Česko,2024,Bulharsko,Pohyb zboží do ČR (meziroční index),124.8406045151
Česko,2024,Bulharsko,Obrat pohybu zboží (meziroční index),110.247983827
Česko,2024,Burkina Faso,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Burkina Faso,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Burkina Faso,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Burkina Faso,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Burkina Faso,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Burkina Faso,Pohyb zboží do ČR (meziroční index),
Česko,2024,Burkina Faso,Obrat pohybu zboží (meziroční index),
Česko,2024,Burundi,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Burundi,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Burundi,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Burundi,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Burundi,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Burundi,Pohyb zboží do ČR (meziroční index),
Česko,2024,Burundi,Obrat pohybu zboží (meziroční index),
Česko,2024,Ceuta,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Ceuta,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Ceuta,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Ceuta,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Ceuta,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Ceuta,Pohyb zboží do ČR (meziroční index),
Česko,2024,Ceuta,Obrat pohybu zboží (meziroční index),
Česko,2024,Cookovy ostrovy,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Cookovy ostrovy,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Cookovy ostrovy,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Cookovy ostrovy,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Cookovy ostrovy,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Cookovy ostrovy,Pohyb zboží do ČR (meziroční index),
Česko,2024,Cookovy ostrovy,Obrat pohybu zboží (meziroční index),
Česko,2024,Curaçao,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Curaçao,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Curaçao,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Curaçao,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Curaçao,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Curaçao,Pohyb zboží do ČR (meziroční index),
Česko,2024,Curaçao,Obrat pohybu zboží (meziroční index),
