Ukazatel,Území,Typ údaje,Odvětví,Čtvrtletí,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2018,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2019,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2019,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),3. čtvrtletí 2019,104.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2019,105.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2020,106.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2020,106.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),3. čtvrtletí 2020,106.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2020,105.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2021,105.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2021,106.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),3. čtvrtletí 2021,107.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2021,109.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2022,114.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2022,123.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),3. čtvrtletí 2022,128.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2022,133.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2023,138.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2023,138.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),3. čtvrtletí 2023,136.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2023,136.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2024,137.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2024,137.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),3. čtvrtletí 2024,138.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),4. čtvrtletí 2024,138.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),1. čtvrtletí 2025,139.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2. čtvrtletí 2025,140.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2000,91.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2000,91.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2000,92.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2000,92.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2001,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2001,94.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2001,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2001,94.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2002,94.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2002,94.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2002,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2002,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2003,95.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2003,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2003,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2003,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2004,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2004,95.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2004,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2004,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2005,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2005,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2005,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2005,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2006,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2006,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2006,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2006,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2007,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2007,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2007,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2007,97.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2008,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2008,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2008,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2008,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2009,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2009,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2009,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2009,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2010,98.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2010,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2010,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2010,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2011,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2011,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2011,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2011,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2012,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2012,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2012,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2012,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2013,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2013,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2013,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2013,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2014,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2014,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2014,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2014,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2015,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2015,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2015,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2015,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2016,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2016,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2016,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2016,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2017,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2017,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2018,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2018,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2018,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2018,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2019,102.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2019,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2019,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2019,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2020,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2020,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2020,103.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2020,104.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2021,104.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2021,106.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2021,108.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2021,110.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2022,116.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2022,122.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2022,126.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2022,130.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2023,133.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2023,133.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2023,132.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2023,132.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2024,133.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2024,134.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",3. čtvrtletí 2024,134.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",4. čtvrtletí 2024,134.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",1. čtvrtletí 2025,135.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2. čtvrtletí 2025,135.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2000,83.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2000,84.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2000,85.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2000,85.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2001,86.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2001,87.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2001,87.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2001,87.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2002,87.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2002,87.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2002,88.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2002,88.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2003,88.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2003,88.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2003,88.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2003,88.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2004,88.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2004,89.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2004,89.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2004,89.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2005,91.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2005,91.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2005,91.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2005,91.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2006,91.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2006,91.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2006,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2006,92.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2007,93.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2008,95.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2008,95.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2008,95.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2008,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2009,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2009,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2009,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2010,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2010,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2010,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2010,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2011,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2011,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2011,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2011,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2012,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2012,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2012,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2012,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2013,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2013,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2013,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2014,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2014,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2014,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2014,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2015,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,1. čtvrtletí 2017,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2. čtvrtletí 2017,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,3. čtvrtletí 2017,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,4. čtvrtletí 2017,98.7
