Ukazatel,Roky,Věk (jednoleté skupiny),"ČR, Reg. soudržnosti, Kraje",value
Míry plodnosti,2024,28,Královéhradecký kraj,108.8568084
Míry plodnosti,2024,28,Pardubický kraj,97.95436664
Míry plodnosti,2024,28,Kraj Vysočina,119.6478591
Míry plodnosti,2024,28,Jihomoravský kraj,100.8361204
Míry plodnosti,2024,28,Olomoucký kraj,107.6870979
Míry plodnosti,2024,28,Zlínský kraj,113.3982036
Míry plodnosti,2024,28,Moravskoslezský kraj,101.948755
Míry plodnosti,2024,29,Česko,101.6705775
Míry plodnosti,2024,29,Praha,83.21902149
Míry plodnosti,2024,29,Střední Čechy,107.4792244
Míry plodnosti,2024,29,Jihozápad,108.7521002
Míry plodnosti,2024,29,Severozápad,91.02005231
Míry plodnosti,2024,29,Severovýchod,106.741573
Míry plodnosti,2024,29,Jihovýchod,111.9321887
Míry plodnosti,2024,29,Střední Morava,109.457672
Míry plodnosti,2024,29,Moravskoslezsko,93.91801075
Míry plodnosti,2024,29,Hlavní město Praha,83.21902149
Míry plodnosti,2024,29,Středočeský kraj,107.4792244
Míry plodnosti,2024,29,Jihočeský kraj,108.3610021
Míry plodnosti,2024,29,Plzeňský kraj,109.152752
Míry plodnosti,2024,29,Karlovarský kraj,77.47395833
Míry plodnosti,2024,29,Ústecký kraj,95.9752322
Míry plodnosti,2024,29,Liberecký kraj,98.08292465
Míry plodnosti,2024,29,Královéhradecký kraj,108.0882353
Míry plodnosti,2024,29,Pardubický kraj,112.5975474
Míry plodnosti,2024,29,Kraj Vysočina,123.3864844
Míry plodnosti,2024,29,Jihomoravský kraj,107.3386114
Míry plodnosti,2024,29,Olomoucký kraj,104.2253521
Míry plodnosti,2024,29,Zlínský kraj,115.31721
Míry plodnosti,2024,29,Moravskoslezský kraj,93.91801075
Míry plodnosti,2024,30,Česko,105.2097375
Míry plodnosti,2024,30,Praha,89.62313945
Míry plodnosti,2024,30,Střední Čechy,110.8195902
Míry plodnosti,2024,30,Jihozápad,110.7717934
Míry plodnosti,2024,30,Severozápad,81.93041526
Míry plodnosti,2024,30,Severovýchod,110.046729
Míry plodnosti,2024,30,Jihovýchod,113.2385649
Míry plodnosti,2024,30,Střední Morava,117.9131484
Míry plodnosti,2024,30,Moravskoslezsko,105.0878256
Míry plodnosti,2024,30,Hlavní město Praha,89.62313945
Míry plodnosti,2024,30,Středočeský kraj,110.8195902
Míry plodnosti,2024,30,Jihočeský kraj,114.6826478
Míry plodnosti,2024,30,Plzeňský kraj,106.70818
Míry plodnosti,2024,30,Karlovarský kraj,75.94167679
Míry plodnosti,2024,30,Ústecký kraj,84.07754302
Míry plodnosti,2024,30,Liberecký kraj,95.79628133
Míry plodnosti,2024,30,Královéhradecký kraj,115.6484809
Míry plodnosti,2024,30,Pardubický kraj,116.0330579
Míry plodnosti,2024,30,Kraj Vysočina,119.7564276
Míry plodnosti,2024,30,Jihomoravský kraj,110.6296547
Míry plodnosti,2024,30,Olomoucký kraj,121.875
Míry plodnosti,2024,30,Zlínský kraj,113.4318766
Míry plodnosti,2024,30,Moravskoslezský kraj,105.0878256
Míry plodnosti,2024,31,Česko,99.76207686
Míry plodnosti,2024,31,Praha,98.61853383
Míry plodnosti,2024,31,Střední Čechy,98.04832714
Míry plodnosti,2024,31,Jihozápad,94.31696905
Míry plodnosti,2024,31,Severozápad,84.84375
Míry plodnosti,2024,31,Severovýchod,99.16170307
Míry plodnosti,2024,31,Jihovýchod,114.5459564
Míry plodnosti,2024,31,Střední Morava,106.6628943
Míry plodnosti,2024,31,Moravskoslezsko,93.79922669
Míry plodnosti,2024,31,Hlavní město Praha,98.61853383
Míry plodnosti,2024,31,Středočeský kraj,98.04832714
Míry plodnosti,2024,31,Jihočeský kraj,94.13298566
Míry plodnosti,2024,31,Plzeňský kraj,94.5096968
Míry plodnosti,2024,31,Karlovarský kraj,73.08377897
Míry plodnosti,2024,31,Ústecký kraj,89.03964384
Míry plodnosti,2024,31,Liberecký kraj,87.81431335
Míry plodnosti,2024,31,Královéhradecký kraj,102.1224239
Míry plodnosti,2024,31,Pardubický kraj,105.2631579
Míry plodnosti,2024,31,Kraj Vysočina,115.0961852
