Území;Týdny;Ukazatel;value
Česko; 26. týden 2022;Index cen (%);99.6
Česko; 25. týden 2022;Průměrná cena bez daní (Kč/tis. l);29863.0
Česko; 25. týden 2022;Index cen (%);100.1
Česko; 24. týden 2022;Průměrná cena bez daní (Kč/tis. l);29819.0
Česko; 24. týden 2022;Index cen (%);109.0
Česko; 23. týden 2022;Průměrná cena bez daní (Kč/tis. l);27348.0
Česko; 23. týden 2022;Index cen (%);106.9
Česko; 22. týden 2022;Průměrná cena bez daní (Kč/tis. l);25578.0
Česko; 22. týden 2022;Index cen (%);101.9
Česko; 21. týden 2022;Průměrná cena bez daní (Kč/tis. l);25110.0
Česko; 21. týden 2022;Index cen (%);96.7
Česko; 20. týden 2022;Průměrná cena bez daní (Kč/tis. l);25962.0
Česko; 20. týden 2022;Index cen (%);101.1
Česko; 19. týden 2022;Průměrná cena bez daní (Kč/tis. l);25687.0
Česko; 19. týden 2022;Index cen (%);98.7
Česko; 18. týden 2022;Průměrná cena bez daní (Kč/tis. l);26013.0
Česko; 18. týden 2022;Index cen (%);103.5
Česko; 17. týden 2022;Průměrná cena bez daní (Kč/tis. l);25141.0
Česko; 17. týden 2022;Index cen (%);101.6
Česko; 15. týden 2022;Průměrná cena bez daní (Kč/tis. l);24735.0
Česko; 15. týden 2022;Index cen (%);95.3
Česko; 14. týden 2022;Průměrná cena bez daní (Kč/tis. l);25944.0
Česko; 14. týden 2022;Index cen (%);98.6
Česko; 13. týden 2022;Průměrná cena bez daní (Kč/tis. l);26314.0
Česko; 13. týden 2022;Index cen (%);108.3
Česko; 12. týden 2022;Průměrná cena bez daní (Kč/tis. l);24305.0
Česko; 12. týden 2022;Index cen (%);91.2
Česko; 11. týden 2022;Průměrná cena bez daní (Kč/tis. l);26654.0
Česko; 11. týden 2022;Index cen (%);108.0
Česko; 10. týden 2022;Průměrná cena bez daní (Kč/tis. l);24673.0
Česko; 10. týden 2022;Index cen (%);127.9
Česko; 09. týden 2022;Průměrná cena bez daní (Kč/tis. l);19296.0
Česko; 09. týden 2022;Index cen (%);113.3
Česko; 08. týden 2022;Průměrná cena bez daní (Kč/tis. l);17033.0
Česko; 08. týden 2022;Index cen (%);101.1
Česko; 07. týden 2022;Průměrná cena bez daní (Kč/tis. l);16850.0
Česko; 07. týden 2022;Index cen (%);100.7
Česko; 06. týden 2022;Průměrná cena bez daní (Kč/tis. l);16732.0
Česko; 06. týden 2022;Index cen (%);106.6
Česko; 05. týden 2022;Průměrná cena bez daní (Kč/tis. l);15689.0
Česko; 05. týden 2022;Index cen (%);97.7
Česko; 04. týden 2022;Průměrná cena bez daní (Kč/tis. l);16059.0
Česko; 04. týden 2022;Index cen (%);102.4
Česko; 03. týden 2022;Průměrná cena bez daní (Kč/tis. l);15679.0
Česko; 03. týden 2022;Index cen (%);100.7
Česko; 02. týden 2022;Průměrná cena bez daní (Kč/tis. l);15574.0
Česko; 02. týden 2022;Index cen (%);104.7
Česko; 01. týden 2022;Průměrná cena bez daní (Kč/tis. l);14876.0
Česko; 01. týden 2022;Index cen (%);98.7
Česko; 50. týden 2021;Průměrná cena bez daní (Kč/tis. l);15073.0
Česko; 50. týden 2021;Index cen (%);100.7
Česko; 49. týden 2021;Průměrná cena bez daní (Kč/tis. l);14965.0
Česko; 49. týden 2021;Index cen (%);102.5
Česko; 48. týden 2021;Průměrná cena bez daní (Kč/tis. l);14605.0
Česko; 48. týden 2021;Index cen (%);89.1
Česko; 47. týden 2021;Průměrná cena bez daní (Kč/tis. l);16384.0
Česko; 47. týden 2021;Index cen (%);98.8
Česko; 46. týden 2021;Průměrná cena bez daní (Kč/tis. l);16582.0
Česko; 46. týden 2021;Index cen (%);101.7
Česko; 45. týden 2021;Průměrná cena bez daní (Kč/tis. l);16297.0
Česko; 45. týden 2021;Index cen (%);99.4
Česko; 44. týden 2021;Průměrná cena bez daní (Kč/tis. l);16398.0
Česko; 44. týden 2021;Index cen (%);101.6
Česko; 43. týden 2021;Průměrná cena bez daní (Kč/tis. l);16135.0
Česko; 43. týden 2021;Index cen (%);101.4
Česko; 42. týden 2021;Průměrná cena bez daní (Kč/tis. l);15911.0
Česko; 42. týden 2021;Index cen (%);102.5
Česko; 41. týden 2021;Průměrná cena bez daní (Kč/tis. l);15528.0
Česko; 41. týden 2021;Index cen (%);107.5
Česko; 40. týden 2021;Průměrná cena bez daní (Kč/tis. l);14449.0
Česko; 40. týden 2021;Index cen (%);106.0
Česko; 39. týden 2021;Průměrná cena bez daní (Kč/tis. l);13632.0
