Ukazatel;Území;Reprezentant pro oblast cen;Měsíce;value
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2015;6324.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2015;6315.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2015;6390.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2015;6208.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2015;6088.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2015;6191.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2016;6161.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2016;6059.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2016;6029.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2016;5899.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2016;5846.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2016;5807.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2016;5874.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2016;5914.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2016;5863.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2016;5810.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2016;5714.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2016;5663.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2017;5618.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2017;5620.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2017;5656.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2017;5658.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2017;5675.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2017;5640.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2017;5646.11
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2017;5632.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2017;5645.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2017;5598.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2017;5667.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2017;5694.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2018;5702.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2018;5698.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2018;5701.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2018;5677.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2018;5680.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2018;5693.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2018;5755.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2018;5861.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2018;5951.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2018;6356.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2018;6486.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2018;6508.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2019;6477.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2019;6546.52
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2019;6571.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2019;6473.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2019;6473.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2019;6469.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2019;6424.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2019;6408.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2019;6248.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2019;6010.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2019;5830.56
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2019;5704.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2020;5585.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2020;5486.78
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2020;5391.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2020;5413.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2020;5417.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2020;5540.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2020;5544.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2020;5567.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2020;5550.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2020;5526.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2020;5590.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2020;5656.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2021;5815.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2021;5893.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2021;6227.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2021;6347.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2021;6404.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2021;6620.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2021;6649.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2021;6683.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2021;6646.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2021;6906.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2021;7116.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2021;7318.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2022;7764.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2022;8287.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2022;8833.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2022;9760.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2022;10827.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2022;11342.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2022;11491.58
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2022;11350.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2022;11701.56
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2022;11837.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2022;11534.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2022;11411.22
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2023;10821.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2023;10649.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2023;10415.11
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2023;10283.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2023;9248.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2023;8892.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2023;8802.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2023;8687.53
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2023;8355.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2023;8042.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2023;8212.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2023;7980.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2024;8019.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2024;7917.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2024;7610.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2024;7545.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];květen 2024;7467.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červen 2024;7238.22
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];červenec 2024;7236.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];srpen 2024;7182.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];září 2024;7202.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];říjen 2024;7200.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];listopad 2024;7303.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];prosinec 2024;7251.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];leden 2025;7299.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];únor 2025;7314.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];březen 2025;7513.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Pšeničná mouka chlebová [t];duben 2025;7612.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2013;8218.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2013;8324.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2013;8307.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2013;8301.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2013;8246.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2013;8162.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2013;8080.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2013;8037.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2013;7769.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2013;7585.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2013;7406.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2013;7360.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2014;7273.94
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2014;6548.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2014;6579.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2014;6544.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2014;6577.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2014;6627.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2014;6584.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2014;6591.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2014;6592.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2014;6582.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2014;6540.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2014;6525.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2015;6501.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2015;6505.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2015;6460.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2015;6482.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2015;6478.46
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2015;6418.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2015;6390.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2015;6361.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2015;6369.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2015;6366.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2015;6353.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2015;6328.87
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2016;6326.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2016;6298.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2016;6377.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2016;6330.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2016;6372.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2016;6322.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2016;6306.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2016;6233.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2016;6254.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2016;6289.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2016;6252.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2016;6178.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2017;6163.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2017;6129.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2017;6140.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2017;6152.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2017;6167.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2017;6143.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2017;6163.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2017;6158.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2017;6180.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2017;6161.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2017;6294.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2017;6325.75
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2018;6347.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2018;6384.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2018;6374.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2018;6381.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2018;6401.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2018;6415.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2018;6402.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2018;6425.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2018;6470.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2018;6574.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2018;6673.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2018;6685.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2019;6619.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2019;6719.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2019;6735.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2019;6757.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2019;6755.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2019;6736.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2019;6764.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2019;6719.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2019;6686.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2019;6602.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2019;6544.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2019;6524.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2020;6486.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2020;6304.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2020;6214.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2020;6243.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2020;6225.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2020;6204.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2020;6206.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2020;6222.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2020;6220.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2020;6214.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2020;6187.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2020;6216.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2021;6219.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2021;6246.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2021;6228.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2021;6200.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2021;6234.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2021;6380.22
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2021;6370.97
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2021;6423.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2021;6391.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2021;6497.85
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2021;6698.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2021;7077.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2022;7432.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2022;7918.23
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2022;8299.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2022;8786.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2022;9142.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2022;9488.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2022;9718.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2022;9914.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2022;10099.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2022;10432.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2022;10919.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2022;10881.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2023;10959.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2023;11144.11
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2023;11033.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2023;11025.64
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2023;10338.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2023;10203.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2023;10456.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2023;10291.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2023;10145.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2023;9786.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2023;9506.53
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2023;9365.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2024;9350.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2024;8963.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2024;9016.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2024;8876.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];květen 2024;8741.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červen 2024;8722.46
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];červenec 2024;8645.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];srpen 2024;8701.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];září 2024;8500.62
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];říjen 2024;8496.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];listopad 2024;8273.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];prosinec 2024;8327.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];leden 2025;8265.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];únor 2025;8187.81
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];březen 2025;8309.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Žitná mouka chlebová [t];duben 2025;8342.16
