Území;Čtvrtletí;Ukazatel;value
Česko;2. čtvrtletí 2021;Celkový přírůstek/úbytek na 1 000 obyvatel;4.77770587751494
Česko;2. čtvrtletí 2021;Kojenecká úmrtnost;2.14239805755909
Česko;2. čtvrtletí 2021;Novorozenecká úmrtnost;1.24973220024281
Česko;1. čtvrtletí 2021;Sňatky na 1 000 obyvatel;1.13036446114477
Česko;1. čtvrtletí 2021;Rozvody na 1 000 obyvatel;1.94605153809944
Česko;1. čtvrtletí 2021;Živě narození na 1 000 obyvatel;10.7326636575794
Česko;1. čtvrtletí 2021;Potraty na 1 000 obyvatel;2.87732649941878
Česko;1. čtvrtletí 2021;UPT na 1 000 obyvatel;1.57261375784436
Česko;1. čtvrtletí 2021;Zemřelí na 1 000 obyvatel;18.0997483142264
Česko;1. čtvrtletí 2021;Přistěhovalí na 1 000 obyvatel;7.08256063359551
Česko;1. čtvrtletí 2021;Vystěhovalí na 1 000 obyvatel;2.22245734853669
Česko;1. čtvrtletí 2021;Přirozený přírůstek/úbytek na 1 000 obyvatel;-7.367084656647
Česko;1. čtvrtletí 2021;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.86010328505883
Česko;1. čtvrtletí 2021;Celkový přírůstek/úbytek na 1 000 obyvatel;-2.50698137158817
Česko;1. čtvrtletí 2021;Kojenecká úmrtnost;2.08911140726867
Česko;1. čtvrtletí 2021;Novorozenecká úmrtnost;1.26067067680006
Česko;4. čtvrtletí 2020;Sňatky na 1 000 obyvatel;2.51522113187057
Česko;4. čtvrtletí 2020;Rozvody na 1 000 obyvatel;2.12320483786503
Česko;4. čtvrtletí 2020;Živě narození na 1 000 obyvatel;9.6409997765569
Česko;4. čtvrtletí 2020;Potraty na 1 000 obyvatel;2.69432241500864
Česko;4. čtvrtletí 2020;UPT na 1 000 obyvatel;1.4614218808756
Česko;4. čtvrtletí 2020;Zemřelí na 1 000 obyvatel;16.3885105659848
Česko;4. čtvrtletí 2020;Přistěhovalí na 1 000 obyvatel;5.57666401936969
Česko;4. čtvrtletí 2020;Vystěhovalí na 1 000 obyvatel;1.97160043222119
Česko;4. čtvrtletí 2020;Přirozený přírůstek/úbytek na 1 000 obyvatel;-6.74751078942792
Česko;4. čtvrtletí 2020;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.6050635871485
Česko;4. čtvrtletí 2020;Celkový přírůstek/úbytek na 1 000 obyvatel;-3.14244720227942
Česko;4. čtvrtletí 2020;Kojenecká úmrtnost;2.11978725044323
Česko;4. čtvrtletí 2020;Novorozenecká úmrtnost;1.46458028212441
Česko;3. čtvrtletí 2020;Sňatky na 1 000 obyvatel;9.27325912869645
Česko;3. čtvrtletí 2020;Rozvody na 1 000 obyvatel;2.110109619394
Česko;3. čtvrtletí 2020;Živě narození na 1 000 obyvatel;11.0436998167544
Česko;3. čtvrtletí 2020;Potraty na 1 000 obyvatel;2.73518964401899
Česko;3. čtvrtletí 2020;UPT na 1 000 obyvatel;1.47834027227005
Česko;3. čtvrtletí 2020;Zemřelí na 1 000 obyvatel;10.4115588406027
Česko;3. čtvrtletí 2020;Přistěhovalí na 1 000 obyvatel;5.85278555756183
Česko;3. čtvrtletí 2020;Vystěhovalí na 1 000 obyvatel;2.73927756332391
Česko;3. čtvrtletí 2020;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.632140976151672
Česko;3. čtvrtletí 2020;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.11350799423792
Česko;3. čtvrtletí 2020;Celkový přírůstek/úbytek na 1 000 obyvatel;3.74564897038959
Česko;3. čtvrtletí 2020;Kojenecká úmrtnost;2.15364942625433
Česko;3. čtvrtletí 2020;Novorozenecká úmrtnost;1.58158629740553
Česko;2. čtvrtletí 2020;Sňatky na 1 000 obyvatel;3.70390330472447
Česko;2. čtvrtletí 2020;Rozvody na 1 000 obyvatel;1.81040446779498
Česko;2. čtvrtletí 2020;Živě narození na 1 000 obyvatel;10.4492109168204
Česko;2. čtvrtletí 2020;Potraty na 1 000 obyvatel;2.81016884575279
Česko;2. čtvrtletí 2020;UPT na 1 000 obyvatel;1.63782385497714
Česko;2. čtvrtletí 2020;Zemřelí na 1 000 obyvatel;10.1220973369696
Česko;2. čtvrtletí 2020;Přistěhovalí na 1 000 obyvatel;3.79000561482313
Česko;2. čtvrtletí 2020;Vystěhovalí na 1 000 obyvatel;2.13563808454319
Česko;2. čtvrtletí 2020;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.327113579850806
Česko;2. čtvrtletí 2020;Přírůstek/úbytek stěhováním na 1 000 obyvatel;1.65436753027994
Česko;2. čtvrtletí 2020;Celkový přírůstek/úbytek na 1 000 obyvatel;1.98148111013075
Česko;2. čtvrtletí 2020;Kojenecká úmrtnost;2.26692094562988
Česko;2. čtvrtletí 2020;Novorozenecká úmrtnost;1.51128063041992
Česko;1. čtvrtletí 2020;Sňatky na 1 000 obyvatel;1.44493754745001
Česko;1. čtvrtletí 2020;Rozvody na 1 000 obyvatel;2.07864909545972
Česko;1. čtvrtletí 2020;Živě narození na 1 000 obyvatel;10.0589015211083
Česko;1. čtvrtletí 2020;Potraty na 1 000 obyvatel;3.11515296864354
Česko;1. čtvrtletí 2020;UPT na 1 000 obyvatel;1.73715943041947
Česko;1. čtvrtletí 2020;Zemřelí na 1 000 obyvatel;11.3755923991985
Česko;1. čtvrtletí 2020;Přistěhovalí na 1 000 obyvatel;5.57515726272749
Česko;1. čtvrtletí 2020;Vystěhovalí na 1 000 obyvatel;3.90268530189714
Česko;1. čtvrtletí 2020;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.31669087809019
Česko;1. čtvrtletí 2020;Přírůstek/úbytek stěhováním na 1 000 obyvatel;1.67247196083035
Česko;1. čtvrtletí 2020;Celkový přírůstek/úbytek na 1 000 obyvatel;0.355781082740165
Česko;1. čtvrtletí 2020;Kojenecká úmrtnost;2.50504748373589
Česko;1. čtvrtletí 2020;Novorozenecká úmrtnost;1.68249457862858
Česko;4. čtvrtletí 2019;Sňatky na 1 000 obyvatel;2.6340555465031
