Ukazatel;Území;Roky;value
Počet obyvatel - celkem;Ústecký kraj;2014;823972.0
Počet obyvatel - celkem;Ústecký kraj;2013;825120.0
Počet obyvatel - celkem;Ústecký kraj;2012;826764.0
Počet obyvatel - celkem;Ústecký kraj;2011;828026.0
Počet obyvatel - celkem;Ústecký kraj;2010;836045.0
Počet obyvatel - celkem;Ústecký kraj;2009;836198.0
Počet obyvatel - celkem;Ústecký kraj;2008;835891.0
Počet obyvatel - celkem;Ústecký kraj;2007;831180.0
Počet obyvatel - celkem;Ústecký kraj;2006;823265.0
Počet obyvatel - celkem;Ústecký kraj;2005;823173.0
Počet obyvatel - celkem;Ústecký kraj;2004;822133.0
Počet obyvatel - celkem;Ústecký kraj;2003;820868.0
Počet obyvatel - celkem;Ústecký kraj;2002;819712.0
Počet obyvatel - celkem;Ústecký kraj;2001;819450.0
Počet obyvatel - celkem;Ústecký kraj;2000;827013.0
Počet obyvatel - celkem;Ústecký kraj;1999;827151.0
Počet obyvatel - celkem;Ústecký kraj;1998;826852.0
Počet obyvatel - celkem;Ústecký kraj;1997;825870.0
Počet obyvatel - celkem;Ústecký kraj;1996;825534.0
Počet obyvatel - celkem;Ústecký kraj;1995;825074.0
Počet obyvatel - celkem;Ústecký kraj;1994;825103.0
Počet obyvatel - celkem;Ústecký kraj;1993;825257.0
Počet obyvatel - celkem;Ústecký kraj;1992;825174.0
Počet obyvatel - celkem;Ústecký kraj;1991;824433.0
Počet obyvatel - celkem;Ústecký kraj;1990;824740.0
Počet obyvatel - celkem;Ústecký kraj;1989;838089.0
Počet obyvatel - celkem;Ústecký kraj;1988;
Počet obyvatel - celkem;Ústecký kraj;1987;
Počet obyvatel - celkem;Ústecký kraj;1986;
Počet obyvatel - celkem;Ústecký kraj;1985;
Počet obyvatel - celkem;Ústecký kraj;1984;
Počet obyvatel - celkem;Ústecký kraj;1983;
Počet obyvatel - celkem;Ústecký kraj;1982;
Počet obyvatel - celkem;Ústecký kraj;1981;
Počet obyvatel - celkem;Liberecký kraj;2024;449494.0
Počet obyvatel - celkem;Liberecký kraj;2023;450728.0
Počet obyvatel - celkem;Liberecký kraj;2022;449177.0
Počet obyvatel - celkem;Liberecký kraj;2021;437570.0
Počet obyvatel - celkem;Liberecký kraj;2020;442476.0
Počet obyvatel - celkem;Liberecký kraj;2019;443690.0
Počet obyvatel - celkem;Liberecký kraj;2018;442356.0
Počet obyvatel - celkem;Liberecký kraj;2017;441300.0
Počet obyvatel - celkem;Liberecký kraj;2016;440636.0
Počet obyvatel - celkem;Liberecký kraj;2015;439639.0
Počet obyvatel - celkem;Liberecký kraj;2014;438851.0
Počet obyvatel - celkem;Liberecký kraj;2013;438609.0
