Stát;Typ ceny;Měsíce;Ukazatel;Typ indexu;value
Česko;Běžné ceny;prosinec 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);112.81604514
Česko;Běžné ceny;prosinec 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;126.3636647591
Česko;Běžné ceny;prosinec 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);117.42162667
Česko;Běžné ceny;prosinec 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;108.3691515799
Česko;Běžné ceny;prosinec 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);104.06326168
Česko;Běžné ceny;listopad 2021;Index stavební produkce - Celkem (%);Meziroční index;114.225207534
Česko;Běžné ceny;listopad 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);134.08370669
Česko;Běžné ceny;listopad 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;119.6213010797
Česko;Běžné ceny;listopad 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);127.80103078
Česko;Běžné ceny;listopad 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;106.2528961204
Česko;Běžné ceny;listopad 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);146.02376282
Česko;Běžné ceny;říjen 2021;Index stavební produkce - Celkem (%);Meziroční index;107.4884747284
Česko;Běžné ceny;říjen 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);119.49839354
Česko;Běžné ceny;říjen 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;113.2349996055
Česko;Běžné ceny;říjen 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);116.07090788
Česko;Běžné ceny;říjen 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;98.7185522457
Česko;Běžné ceny;říjen 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);126.01223759
Česko;Běžné ceny;září 2021;Index stavební produkce - Celkem (%);Meziroční index;110.0248223049
Česko;Běžné ceny;září 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);120.14360895
Česko;Běžné ceny;září 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;116.7002040405
Česko;Běžné ceny;září 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);119.10685401
