Ukazatel;Rok;ČR, Reg. soudržnosti, Kraje;Věk (roky);Pohlaví;value
Počet obyvatel k 31. 12.;2023;Česko;70;Muži;58084
Počet obyvatel k 31. 12.;2023;Česko;70;Ženy;69249
Počet obyvatel k 31. 12.;2023;Česko;71;Celkem;126935
Počet obyvatel k 31. 12.;2023;Česko;71;Muži;56987
Počet obyvatel k 31. 12.;2023;Česko;71;Ženy;69948
Počet obyvatel k 31. 12.;2023;Česko;72;Celkem;124704
Počet obyvatel k 31. 12.;2023;Česko;72;Muži;54884
Počet obyvatel k 31. 12.;2023;Česko;72;Ženy;69820
Počet obyvatel k 31. 12.;2023;Česko;73;Celkem;119551
Počet obyvatel k 31. 12.;2023;Česko;73;Muži;52227
Počet obyvatel k 31. 12.;2023;Česko;73;Ženy;67324
Počet obyvatel k 31. 12.;2023;Česko;74;Celkem;113507
Počet obyvatel k 31. 12.;2023;Česko;74;Muži;48903
Počet obyvatel k 31. 12.;2023;Česko;74;Ženy;64604
Počet obyvatel k 31. 12.;2023;Česko;75;Celkem;113449
Počet obyvatel k 31. 12.;2023;Česko;75;Muži;48623
Počet obyvatel k 31. 12.;2023;Česko;75;Ženy;64826
Počet obyvatel k 31. 12.;2023;Česko;79;Celkem;81469
Počet obyvatel k 31. 12.;2023;Česko;79;Muži;31939
Počet obyvatel k 31. 12.;2023;Česko;79;Ženy;49530
Počet obyvatel k 31. 12.;2023;Česko;76;Celkem;114019
Počet obyvatel k 31. 12.;2023;Česko;76;Muži;47790
Počet obyvatel k 31. 12.;2023;Česko;76;Ženy;66229
Počet obyvatel k 31. 12.;2023;Česko;77;Celkem;105526
Počet obyvatel k 31. 12.;2023;Česko;77;Muži;43317
Počet obyvatel k 31. 12.;2023;Česko;77;Ženy;62209
Počet obyvatel k 31. 12.;2023;Česko;78;Celkem;81282
Počet obyvatel k 31. 12.;2023;Česko;78;Muži;32195
Počet obyvatel k 31. 12.;2023;Česko;78;Ženy;49087
Počet obyvatel k 31. 12.;2023;Česko;80;Celkem;74921
Počet obyvatel k 31. 12.;2023;Česko;80;Muži;28982
Počet obyvatel k 31. 12.;2023;Česko;80;Ženy;45939
Počet obyvatel k 31. 12.;2023;Česko;81;Celkem;62832
Počet obyvatel k 31. 12.;2023;Česko;81;Muži;23870
Počet obyvatel k 31. 12.;2023;Česko;81;Ženy;38962
Počet obyvatel k 31. 12.;2023;Česko;82;Celkem;56450
Počet obyvatel k 31. 12.;2023;Česko;82;Muži;20921
Počet obyvatel k 31. 12.;2023;Česko;82;Ženy;35529
Počet obyvatel k 31. 12.;2023;Česko;83;Celkem;51483
Počet obyvatel k 31. 12.;2023;Česko;83;Muži;18820
Počet obyvatel k 31. 12.;2023;Česko;83;Ženy;32663
Počet obyvatel k 31. 12.;2023;Česko;84;Celkem;41949
Počet obyvatel k 31. 12.;2023;Česko;84;Muži;14617
Počet obyvatel k 31. 12.;2023;Česko;84;Ženy;27332
Počet obyvatel k 31. 12.;2023;Česko;85;Celkem;36526
Počet obyvatel k 31. 12.;2023;Česko;85;Muži;12388
Počet obyvatel k 31. 12.;2023;Česko;85;Ženy;24138
Počet obyvatel k 31. 12.;2023;Česko;86;Celkem;30786
Počet obyvatel k 31. 12.;2023;Česko;86;Muži;10069
Počet obyvatel k 31. 12.;2023;Česko;86;Ženy;20717
Počet obyvatel k 31. 12.;2023;Česko;87;Celkem;26950
Počet obyvatel k 31. 12.;2023;Česko;87;Muži;8571
Počet obyvatel k 31. 12.;2023;Česko;87;Ženy;18379
Počet obyvatel k 31. 12.;2023;Česko;88;Celkem;23142
Počet obyvatel k 31. 12.;2023;Česko;88;Muži;7188
Počet obyvatel k 31. 12.;2023;Česko;88;Ženy;15954
Počet obyvatel k 31. 12.;2023;Česko;89;Celkem;19875
Počet obyvatel k 31. 12.;2023;Česko;89;Muži;5879
Počet obyvatel k 31. 12.;2023;Česko;89;Ženy;13996
Počet obyvatel k 31. 12.;2023;Česko;90;Celkem;16672
Počet obyvatel k 31. 12.;2023;Česko;90;Muži;4806
