Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Barbados;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Barbados;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Barbados;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Belgie;Pohyb zboží z ČR (v mil. Kč, FOB);10359.308518
Česko;prosinec 2024;Belgie;Pohyb zboží do ČR (v mil. Kč, CIF);5774.547191
Česko;prosinec 2024;Belgie;Bilance - pohyb zboží (v mil. Kč);4584.761327
Česko;prosinec 2024;Belgie;Obrat - pohyb zboží (v mil. Kč);16133.855709
Česko;prosinec 2024;Belgie;Pohyb zboží z ČR (meziroční index );123.2051555976
Česko;prosinec 2024;Belgie;Pohyb zboží do ČR (meziroční index);100.5783569152
Česko;prosinec 2024;Belgie;Obrat pohybu zboží (meziroční index);114.0240534705
Česko;prosinec 2024;Belize;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Belize;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Belize;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Belize;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Belize;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Belize;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Belize;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bělorusko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bělorusko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bělorusko;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bělorusko;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bělorusko;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bělorusko;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bělorusko;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Benin;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Benin;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Benin;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Benin;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Benin;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Benin;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Benin;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bermudy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bermudy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bermudy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bermudy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bermudy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Bermudy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Bermudy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Bhútán;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Bhútán;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Bhútán;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bhútán;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Bhútán;Pohyb zboží z ČR (meziroční index );
