Právní forma;Roky;SO ORP a obce;Ukazatel;value
Obecní rozpočty;2023;Dvůr Králové nad Labem;Nedaňové příjmy ;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Kapitalové příjmy ;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Přijaté transféry;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Výdaje celkem;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Běžné výdaje ;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Kapitalové výdaje ;
Obecní rozpočty;2023;Dvůr Králové nad Labem;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Příjmy celkem;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Daňové příjmy ;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Nedaňové příjmy ;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Kapitalové příjmy ;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Přijaté transféry;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Výdaje celkem;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Běžné výdaje ;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Kapitalové výdaje ;
Obecní rozpočty;2023;Frenštát pod Radhoštěm;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Frýdek-Místek;Příjmy celkem;
Obecní rozpočty;2023;Frýdek-Místek;Daňové příjmy ;
Obecní rozpočty;2023;Frýdek-Místek;Nedaňové příjmy ;
Obecní rozpočty;2023;Frýdek-Místek;Kapitalové příjmy ;
Obecní rozpočty;2023;Frýdek-Místek;Přijaté transféry;
Obecní rozpočty;2023;Frýdek-Místek;Výdaje celkem;
Obecní rozpočty;2023;Frýdek-Místek;Běžné výdaje ;
Obecní rozpočty;2023;Frýdek-Místek;Kapitalové výdaje ;
Obecní rozpočty;2023;Frýdek-Místek;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Frýdlant;Příjmy celkem;
Obecní rozpočty;2023;Frýdlant;Daňové příjmy ;
Obecní rozpočty;2023;Frýdlant;Nedaňové příjmy ;
Obecní rozpočty;2023;Frýdlant;Kapitalové příjmy ;
Obecní rozpočty;2023;Frýdlant;Přijaté transféry;
Obecní rozpočty;2023;Frýdlant;Výdaje celkem;
Obecní rozpočty;2023;Frýdlant;Běžné výdaje ;
Obecní rozpočty;2023;Frýdlant;Kapitalové výdaje ;
Obecní rozpočty;2023;Frýdlant;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Příjmy celkem;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Daňové příjmy ;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Nedaňové příjmy ;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Kapitalové příjmy ;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Přijaté transféry;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Výdaje celkem;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Běžné výdaje ;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Kapitalové výdaje ;
Obecní rozpočty;2023;Frýdlant nad Ostravicí;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Havířov;Příjmy celkem;
Obecní rozpočty;2023;Havířov;Daňové příjmy ;
Obecní rozpočty;2023;Havířov;Nedaňové příjmy ;
Obecní rozpočty;2023;Havířov;Kapitalové příjmy ;
Obecní rozpočty;2023;Havířov;Přijaté transféry;
