Kategorie;Čtvrtletí;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Korejská republika;Počet přenocování;97382.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Korejská republika;Průměrný počet přenocování ;1.8722987003
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Tchaj-wan;Počet hostů;20992.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Tchaj-wan;Počet přenocování;47648.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Tchaj-wan;Průměrný počet přenocování ;2.2698170732
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Saúdská Arábie;Počet hostů;15745.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Saúdská Arábie;Počet přenocování;41454.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Saúdská Arábie;Průměrný počet přenocování ;2.6328358209
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Spojené arabské emiráty;Počet hostů;7386.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Spojené arabské emiráty;Počet přenocování;19658.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Spojené arabské emiráty;Průměrný počet přenocování ;2.661521798
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Thajsko;Počet hostů;2225.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Thajsko;Počet přenocování;4370.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Thajsko;Průměrný počet přenocování ;1.9640449438
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Kazachstán;Počet hostů;2969.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Kazachstán;Počet přenocování;9550.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Kazachstán;Průměrný počet přenocování ;3.2165712361
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní asijské země;Počet hostů;47418.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní asijské země;Počet přenocování;116312.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní asijské země;Průměrný počet přenocování ;2.4529081783
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Jižní Afrika;Počet hostů;2305.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Jižní Afrika;Počet přenocování;6069.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Jižní Afrika;Průměrný počet přenocování ;2.6329718004
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní africké země;Počet hostů;8522.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní africké země;Počet přenocování;22257.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Ostatní africké země;Průměrný počet přenocování ;2.611710866
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Austrálie;Počet hostů;23601.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Austrálie;Počet přenocování;59331.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Austrálie;Průměrný počet přenocování ;2.5139189017
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nový Zéland;Počet hostů;4586.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nový Zéland;Počet přenocování;12197.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nový Zéland;Průměrný počet přenocování ;2.6596162233
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Oceánie;Počet hostů;936.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Oceánie;Počet přenocování;1975.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Oceánie;Průměrný počet přenocování ;2.110042735
