Ukazatel;Druh nemovitosti;Typ údaje;Území;Čtvrtletí;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2021;226.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2021;242.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2022;253.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2022;259.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2022;265.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2022;253.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;1. čtvrtletí 2023;243.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2. čtvrtletí 2023;242.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;3. čtvrtletí 2023;243.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;4. čtvrtletí 2023;247.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2015;97.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2015;101.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2015;101.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2016;101.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2016;105.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2016;113.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2016;112.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;1. čtvrtletí 2017;118.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2. čtvrtletí 2017;121.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;3. čtvrtletí 2017;126.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;4. čtvrtletí 2017;127.8
