Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2016,2124652.26865
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2015,1098084.93151
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2014,711940.67
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2013,631975.16
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2012,204925.92
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2011,225057.77
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2010,262799.66
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2009,-1495670.28
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2008,18627.11
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,2007,-139044.72
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2024,1239035.87846
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2023,2208984.82415
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2022,406609.13021
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2021,1307663.12747
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2020,-670556.14761
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2019,632088.17852
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2018,-70356.57395
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2017,1452532.08634
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2016,2075437.12888
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2015,885268.85121
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2014,840254.24
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2013,1046576.01
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2012,503508.75
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2011,-253375.07
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2010,592027.25
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2009,-973578.45
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2008,682420.33
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,2007,-330328.17
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2024,4806415.78346
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2023,3115411.41786
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2022,-92001.30513
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2021,2138069.33946
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2020,1072035.56665
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,2019,1283145.32484
