Ukazatel;Území;Rodinný stav nevěsty;Věk nevěsty (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;37;2020;1059.0
Sňatky;Česko;Celkem;37;2019;1233.0
Sňatky;Česko;Celkem;37;2018;1235.0
Sňatky;Česko;Celkem;37;2017;1147.0
Sňatky;Česko;Celkem;37;2016;1188.0
Sňatky;Česko;Celkem;37;2015;1113.0
Sňatky;Česko;Celkem;37;2014;999.0
Sňatky;Česko;Celkem;37;2013;933.0
Sňatky;Česko;Celkem;37;2012;950.0
Sňatky;Česko;Celkem;37;2011;935.0
Sňatky;Česko;Celkem;37;2010;798.0
Sňatky;Česko;Celkem;37;2009;719.0
Sňatky;Česko;Celkem;37;2008;766.0
Sňatky;Česko;Celkem;37;2007;755.0
Sňatky;Česko;Celkem;37;2006;648.0
Sňatky;Česko;Celkem;37;2005;530.0
Sňatky;Česko;Celkem;37;2004;511.0
Sňatky;Česko;Celkem;37;2003;455.0
Sňatky;Česko;Celkem;37;2002;504.0
Sňatky;Česko;Celkem;37;2001;485.0
Sňatky;Česko;Celkem;38;2024;
Sňatky;Česko;Celkem;38;2023;1113.0
Sňatky;Česko;Celkem;38;2022;1286.0
Sňatky;Česko;Celkem;38;2021;974.0
Sňatky;Česko;Celkem;38;2020;934.0
