Území,Ukazatel,Očištění,Typ indexu,CZ-NACE,Roky,value
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2020,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2019,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2018,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2017,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2016,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2015,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2014,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2013,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2012,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2011,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2010,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2009,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2008,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2007,
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,Těžba a úprava rud,2006,
