Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2019,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2020,70.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2021,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2022,157.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2023,223.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ropa a zemní plyn,2024,180.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2016,101.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2017,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2018,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2019,109.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2020,114.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2021,119.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2022,140.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2023,171.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Ostatní těžba a dobývání nerostných surovin,2024,182.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2016,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2017,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2018,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2019,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2020,104.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2021,105.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2022,129.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2023,140.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Potravinářské výrobky, vč. souvisejících služeb a prací",2024,136.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2016,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2017,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2018,102.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2019,104.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2020,105.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2021,106.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2022,114.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2023,128.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nápoje, vč. subdodavatelských prací",2024,133.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2016,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2018,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2019,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2020,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2021,107.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2022,127.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2023,130.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Textilie, vč. souvisejících služeb a prací",2024,127.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2016,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2017,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2018,104.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2019,111.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2020,114.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2021,117.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2022,124.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2023,135.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Oděvy, vč. subdodavatelských prací",2024,140.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2016,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2017,101.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2018,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2019,105.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2020,109.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2021,109.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2022,116.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2023,119.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Usně a související výrobky, vč. subdodavatelských prací",2024,123.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2016,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2017,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2018,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2019,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2020,100.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2021,126.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2022,159.2
