Území;Kategorie;Kumulace čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Počet hostů;Rezidenti;1980025.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Počet hostů;Nerezidenti;2006617.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Počet přenocování;Celkem;10715751.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Počet přenocování;Rezidenti;5428285.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Počet přenocování;Nerezidenti;5287466.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Průměrný počet přenocování ;Celkem;2.6879140389
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Průměrný počet přenocování ;Rezidenti;2.7415234656
Česko;Hromadná ubytovací zařízení celkem;Q1 2019;Průměrný počet přenocování ;Nerezidenti;2.6350150527
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Počet hostů;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Počet hostů;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Počet hostů;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Počet přenocování;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Počet přenocování;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Počet přenocování;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Průměrný počet přenocování ;Celkem;2.6127702774
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Průměrný počet přenocování ;Rezidenti;2.7035126605
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2018;Průměrný počet přenocování ;Nerezidenti;2.5218195649
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Počet hostů;Celkem;16759844.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Počet hostů;Rezidenti;8656873.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Počet hostů;Nerezidenti;8102971.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Počet přenocování;Celkem;44721699.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Počet přenocování;Rezidenti;24151527.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Počet přenocování;Nerezidenti;20570172.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Průměrný počet přenocování ;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Průměrný počet přenocování ;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2018;Průměrný počet přenocování ;Nerezidenti;
