Území;Ukazatel;Čtvrtletí;value
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 1996;220762
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 1996;234204
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 1996;239845
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 1997;226987
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 1997;246973
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 1997;260764
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 1997;266282
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 1998;248312
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 1998;265691
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 1998;277845
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 1998;285844
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 1999;260705
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 1999;281400
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 1999;290455
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 1999;302004
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2000;276695
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2000;294130
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2000;308373
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 2000;313213
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2001;293360
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2001;314003
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2001;328481
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 2001;336459
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2002;313014
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2002;329522
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2002;339667
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 2002;347363
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2003;327185
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2003;346448
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2003;359573
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 2003;363718
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2004;345075
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2004;365484
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2004;383166
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 2004;391793
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2005;359712
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2005;382363
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2005;399313
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);4. čtvrtletí 2005;411479
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);1. čtvrtletí 2006;380062
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);2. čtvrtletí 2006;404112
Česko;Výdaje na konečnou spotřebu domácností (mil. Kč, běžné ceny);3. čtvrtletí 2006;422508
