Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),345247.5171159147
Česko,Q1-Q4 2024,"R - Kulturní, zábavní a rekreační činnosti",Ostatní osobní náklady - meziroční index (%),110.7015306468
Česko,Q1-Q4 2024,S - Ostatní činnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),20390576.08192436
Česko,Q1-Q4 2024,S - Ostatní činnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3843544.0754456804
Česko,Q1-Q4 2024,S - Ostatní činnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),123.2279968634
Česko,Q1-Q4 2024,S - Ostatní činnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),15749202.684780927
Česko,Q1-Q4 2024,S - Ostatní činnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1685127.4114092977
Česko,Q1-Q4 2024,S - Ostatní činnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),111.9817860659
Česko,Q1-Q4 2024,S - Ostatní činnosti,Ostatní osobní náklady (tis. Kč),4641373.397143431
Česko,Q1-Q4 2024,S - Ostatní činnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),2158416.6640363825
Česko,Q1-Q4 2024,S - Ostatní činnosti,Ostatní osobní náklady - meziroční index (%),186.9292901989
