Roky,Ukazatel,Oblasti destinačního managementu nečleněné,Kategorie ubytovacího zařízení,value
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,"Hotel, motel, botel ****",3.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,"Hotel, motel, botel ***",11.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Penzion,100.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Kemp,29.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Chatová osada,4.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Turistická ubytovna,8.0
2024,Počet hromadných ubytovacích zařízení,Třeboňsko,Ostatní HUZ,21.0
2024,Počet hromadných ubytovacích zařízení,Český les,HUZ celkem,111.0
2024,Počet hromadných ubytovacích zařízení,Český les,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Český les,"Hotel, motel, botel ****",2.0
2024,Počet hromadných ubytovacích zařízení,Český les,"Hotel, motel, botel ***",18.0
2024,Počet hromadných ubytovacích zařízení,Český les,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Český les,"Hotel, motel, botel *",4.0
2024,Počet hromadných ubytovacích zařízení,Český les,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Český les,Penzion,48.0
2024,Počet hromadných ubytovacích zařízení,Český les,Kemp,8.0
2024,Počet hromadných ubytovacích zařízení,Český les,Chatová osada,10.0
2024,Počet hromadných ubytovacích zařízení,Český les,Turistická ubytovna,8.0
2024,Počet hromadných ubytovacích zařízení,Český les,Ostatní HUZ,11.0
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Hotel *****,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko","Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko","Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko","Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko","Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Hotel garni,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Penzion,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Kemp,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Chatová osada,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,"Královicko, Střela, Radnicko",Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,Pošumaví,"Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,Pošumaví,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Pošumaví,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Penzion,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Kemp,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,Pošumaví,Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,HUZ celkem,67.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,"Hotel, motel, botel ****",13.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,"Hotel, motel, botel ***",17.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Penzion,22.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Kemp,4.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Turistická ubytovna,2.0
2024,Počet hromadných ubytovacích zařízení,Plzeň a okolí,Ostatní HUZ,8.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,HUZ celkem,53.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,Hotel *****,1.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,"Hotel, motel, botel ****",1.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,"Hotel, motel, botel ***",3.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Postřelí,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Postřelí,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Postřelí,Penzion,21.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,Kemp,6.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,Chatová osada,5.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,Turistická ubytovna,2.0
2024,Počet hromadných ubytovacích zařízení,Postřelí,Ostatní HUZ,14.0
2024,Počet hromadných ubytovacích zařízení,Šumava západ,HUZ celkem,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,"Hotel, motel, botel ****",
2024,Počet hromadných ubytovacích zařízení,Šumava západ,"Hotel, motel, botel ***",
2024,Počet hromadných ubytovacích zařízení,Šumava západ,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Šumava západ,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Penzion,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Kemp,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Turistická ubytovna,
2024,Počet hromadných ubytovacích zařízení,Šumava západ,Ostatní HUZ,
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,HUZ celkem,314.0
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Krušnohoří,"Hotel, motel, botel ****",15.0
