Stát,Kumulace měsíců,Ukazatel,value
Česko,srpen 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",131582.0
Česko,červenec 2023,Počet stavebních povolení v ČR,45502.0
Česko,červenec 2023,Počet vydaných stavebních povolení - budovy,25757.0
Česko,červenec 2023,Počet vydaných stavebních povolení - budovy bytové,15574.0
Česko,červenec 2023,Počet vydaných stavebních povolení - budovy nebytové,10183.0
Česko,červenec 2023,Počet vydaných stavebních povolení - inženýrské stavby,19745.0
Česko,červenec 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",327040.0
Česko,červenec 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",209561.0
Česko,červenec 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",96266.0
Česko,červenec 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",113295.0
Česko,červenec 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",117479.0
Česko,červen 2023,Počet stavebních povolení v ČR,39209.0
Česko,červen 2023,Počet vydaných stavebních povolení - budovy,22044.0
Česko,červen 2023,Počet vydaných stavebních povolení - budovy bytové,13313.0
Česko,červen 2023,Počet vydaných stavebních povolení - budovy nebytové,8731.0
Česko,červen 2023,Počet vydaných stavebních povolení - inženýrské stavby,17165.0
Česko,červen 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",286790.0
Česko,červen 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",182084.0
Česko,červen 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",81742.0
Česko,červen 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",100342.0
Česko,červen 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",104706.0
Česko,květen 2023,Počet stavebních povolení v ČR,32471.0
Česko,květen 2023,Počet vydaných stavebních povolení - budovy,18267.0
Česko,květen 2023,Počet vydaných stavebních povolení - budovy bytové,11045.0
Česko,květen 2023,Počet vydaných stavebních povolení - budovy nebytové,7222.0
Česko,květen 2023,Počet vydaných stavebních povolení - inženýrské stavby,14204.0
Česko,květen 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",243103.0
Česko,květen 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",152908.0
Česko,květen 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",70025.0
Česko,květen 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",82883.0
Česko,květen 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",90195.0
Česko,duben 2023,Počet stavebních povolení v ČR,25394.0
Česko,duben 2023,Počet vydaných stavebních povolení - budovy,14143.0
Česko,duben 2023,Počet vydaných stavebních povolení - budovy bytové,8577.0
Česko,duben 2023,Počet vydaných stavebních povolení - budovy nebytové,5566.0
Česko,duben 2023,Počet vydaných stavebních povolení - inženýrské stavby,11251.0
Česko,duben 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",185291.0
Česko,duben 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",119406.0
Česko,duben 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",54160.0
Česko,duben 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",65246.0
Česko,duben 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",65885.0
Česko,březen 2023,Počet stavebních povolení v ČR,19002.0
Česko,březen 2023,Počet vydaných stavebních povolení - budovy,10513.0
Česko,březen 2023,Počet vydaných stavebních povolení - budovy bytové,6369.0
Česko,březen 2023,Počet vydaných stavebních povolení - budovy nebytové,4144.0
Česko,březen 2023,Počet vydaných stavebních povolení - inženýrské stavby,8489.0
Česko,březen 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",131407.0
Česko,březen 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",91951.0
Česko,březen 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",41760.0
Česko,březen 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",50191.0
Česko,březen 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",39456.0
Česko,únor 2023,Počet stavebních povolení v ČR,12173.0
Česko,únor 2023,Počet vydaných stavebních povolení - budovy,6617.0
Česko,únor 2023,Počet vydaných stavebních povolení - budovy bytové,3999.0
Česko,únor 2023,Počet vydaných stavebních povolení - budovy nebytové,2618.0
Česko,únor 2023,Počet vydaných stavebních povolení - inženýrské stavby,5556.0
Česko,únor 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",87424.0
Česko,únor 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",57797.0
Česko,únor 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",26854.0
Česko,únor 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",30943.0
Česko,únor 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",29627.0
Česko,leden 2023,Počet stavebních povolení v ČR,6172.0
Česko,leden 2023,Počet vydaných stavebních povolení - budovy,3348.0
Česko,leden 2023,Počet vydaných stavebních povolení - budovy bytové,2012.0
Česko,leden 2023,Počet vydaných stavebních povolení - budovy nebytové,1336.0
Česko,leden 2023,Počet vydaných stavebních povolení - inženýrské stavby,2824.0
