Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;srpen 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;září 2024;102.4
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;říjen 2024;101.2
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;listopad 2024;100.3
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;prosinec 2024;100.6
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;leden 2025;103.6
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;únor 2025;101.7
Index vývozních cen (%);Meziměsíční index;Česko;Produkty zemědělství a myslivosti a související služby;březen 2025;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;leden 2024;107.5
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;únor 2024;100.9
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;březen 2024;101.5
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;duben 2024;102.8
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;květen 2024;97.7
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;červen 2024;98.4
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;červenec 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;srpen 2024;97.0
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;září 2024;100.1
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;říjen 2024;106.3
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;listopad 2024;100.4
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;prosinec 2024;101.0
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;leden 2025;101.9
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;únor 2025;100.5
Index vývozních cen (%);Meziměsíční index;Česko;Produkty lesnictví, těžby dřeva a související služby;březen 2025;99.9
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;leden 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;únor 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;březen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;duben 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;květen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;červen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;červenec 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;srpen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;září 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;říjen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;listopad 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;prosinec 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;leden 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;únor 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Černé a hnědé uhlí a lignit;březen 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;leden 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;únor 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;březen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;duben 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;květen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;červen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;červenec 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;srpen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;září 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;říjen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;listopad 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;prosinec 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;leden 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;únor 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Ropa a zemní plyn;březen 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;leden 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;únor 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;březen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;duben 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;květen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;červen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;červenec 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;srpen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;září 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;říjen 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;listopad 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;prosinec 2024;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;leden 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;únor 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Rudy;březen 2025;
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;leden 2024;101.2
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;únor 2024;103.6
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;březen 2024;100.5
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;duben 2024;97.7
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;květen 2024;99.1
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;červen 2024;99.0
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;červenec 2024;102.6
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;srpen 2024;99.3
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;září 2024;99.5
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;říjen 2024;100.6
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;listopad 2024;98.9
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;prosinec 2024;102.1
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;leden 2025;98.2
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;únor 2025;100.8
Index vývozních cen (%);Meziměsíční index;Česko;Ostatní těžba a dobývání nerostných surovin;březen 2025;99.3
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;leden 2024;101.4
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;únor 2024;101.6
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;březen 2024;100.1
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;duben 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;květen 2024;98.4
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;červen 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;červenec 2024;102.8
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;srpen 2024;99.2
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;září 2024;100.4
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;říjen 2024;100.7
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;listopad 2024;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;prosinec 2024;99.1
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;leden 2025;100.8
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;únor 2025;100.4
Index vývozních cen (%);Meziměsíční index;Česko;Potravinářské výrobky;březen 2025;100.4
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;leden 2024;99.8
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;únor 2024;103.2
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;březen 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;duben 2024;101.4
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;květen 2024;97.4
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;červen 2024;99.1
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;červenec 2024;103.5
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;srpen 2024;97.8
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;září 2024;99.8
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;říjen 2024;100.7
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;listopad 2024;101.0
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;prosinec 2024;97.7
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;leden 2025;101.9
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;únor 2025;100.3
Index vývozních cen (%);Meziměsíční index;Česko;Nápoje;březen 2025;99.2
Index vývozních cen (%);Meziměsíční index;Česko;Textilie;leden 2024;98.7
