Území,Měsíce,Ukazatel,value
Česko,únor 2023,Živě narození na 1 000 obyvatel,8.371668959
Česko,únor 2023,Potraty na 1 000 obyvatel,2.317179846
Česko,únor 2023,UPT na 1 000 obyvatel,1.373232685
Česko,únor 2023,Zemřelí na 1 000 obyvatel,11.04478302
Česko,únor 2023,Přistěhovalí na 1 000 obyvatel,14.48988954
Česko,únor 2023,Vystěhovalí na 1 000 obyvatel,2.045419262
Česko,únor 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.673114062
Česko,únor 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,12.44447028
Česko,únor 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,9.771356214
Česko,únor 2023,Kojenecká úmrtnost,1.723642631
Česko,únor 2023,Novorozenecká úmrtnost,0.71818443
Česko,leden 2023,Sňatky na 1 000 obyvatel,0.935885209
Česko,leden 2023,Rozvody na 1 000 obyvatel,1.755464126
Česko,leden 2023,Živě narození na 1 000 obyvatel,8.593621906
Česko,leden 2023,Potraty na 1 000 obyvatel,2.605478334
Česko,leden 2023,UPT na 1 000 obyvatel,1.597852796
Česko,leden 2023,Zemřelí na 1 000 obyvatel,12.43499046
Česko,leden 2023,Přistěhovalí na 1 000 obyvatel,16.28940272
Česko,leden 2023,Vystěhovalí na 1 000 obyvatel,2.561999346
Česko,leden 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-3.841368557
Česko,leden 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,13.72740337
Česko,leden 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,9.886034813
Česko,leden 2023,Kojenecká úmrtnost,1.770806982
Česko,leden 2023,Novorozenecká úmrtnost,1.26486213
Česko,prosinec 2022,Sňatky na 1 000 obyvatel,1.32486680554369
Česko,prosinec 2022,Rozvody na 1 000 obyvatel,1.84045536533656
Česko,prosinec 2022,Živě narození na 1 000 obyvatel,8.20373189442573
