Území;Ukazatel;Odvětví CZ-NACE;Čtvrtletí;value
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;4. čtvrtletí 2022;5681
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;3. čtvrtletí 2022;5501
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2. čtvrtletí 2022;6021
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;1. čtvrtletí 2022;6231
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;4. čtvrtletí 2021;5990
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;1. čtvrtletí 2025;4324
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;4. čtvrtletí 2024;3385
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;3. čtvrtletí 2024;4499
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2. čtvrtletí 2024;3570
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;1. čtvrtletí 2024;4354
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;4. čtvrtletí 2023;3126
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;3. čtvrtletí 2023;3329
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2. čtvrtletí 2023;2837
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;1. čtvrtletí 2023;3377
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;4. čtvrtletí 2022;2582
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;3. čtvrtletí 2022;3149
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2. čtvrtletí 2022;3026
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;1. čtvrtletí 2022;2919
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;4. čtvrtletí 2021;2236
