Kategorie,Ukazatel,Měsíce,Území,value
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Zlínský kraj,27.32862249
Hotely a penziony,Čisté využití lůžek (%),listopad 2023,Moravskoslezský kraj,23.6109272838
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Česko,37.7142608989
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Hlavní město Praha,61.211044417
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Středočeský kraj,29.2507232004
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Jihočeský kraj,27.0684776066
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Plzeňský kraj,32.2591145833
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Karlovarský kraj,50.3893383036
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Ústecký kraj,26.1602574705
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Liberecký kraj,22.2154316016
Hotely a penziony,Čisté využití lůžek (%),říjen 2023,Královéhradecký kraj,24.5621687668
