Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Českomoravské pomezí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,139.0
2024,HUZ celkem,Chrudimsko-Hlinecko,Počet hromadných ubytovacích zařízení,80.0
2024,HUZ celkem,Chrudimsko-Hlinecko,Počet pokojů v hromadných ubytovacích zařízeních,1464.0
2024,HUZ celkem,Chrudimsko-Hlinecko,Počet lůžek v hromadných ubytovacích zařízeních,4401.0
2024,HUZ celkem,Chrudimsko-Hlinecko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,634.0
2024,HUZ celkem,Králický Sněžník,Počet hromadných ubytovacích zařízení,41.0
2024,HUZ celkem,Králický Sněžník,Počet pokojů v hromadných ubytovacích zařízeních,620.0
2024,HUZ celkem,Králický Sněžník,Počet lůžek v hromadných ubytovacích zařízeních,1927.0
2024,HUZ celkem,Králický Sněžník,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,47.0
2024,HUZ celkem,Orlické hory a Podorlicko - Pardubický kraj,Počet hromadných ubytovacích zařízení,94.0
2024,HUZ celkem,Orlické hory a Podorlicko - Pardubický kraj,Počet pokojů v hromadných ubytovacích zařízeních,1474.0
2024,HUZ celkem,Orlické hory a Podorlicko - Pardubický kraj,Počet lůžek v hromadných ubytovacích zařízeních,4694.0
2024,HUZ celkem,Orlické hory a Podorlicko - Pardubický kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,388.0
2024,HUZ celkem,Pardubicko,Počet hromadných ubytovacích zařízení,62.0
2024,HUZ celkem,Pardubicko,Počet pokojů v hromadných ubytovacích zařízeních,1570.0
2024,HUZ celkem,Pardubicko,Počet lůžek v hromadných ubytovacích zařízeních,3705.0
2024,HUZ celkem,Pardubicko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,480.0
2024,HUZ celkem,Jihozápadní Vysočina,Počet hromadných ubytovacích zařízení,
