Stát,Ukazatel,Typ ceny,Měsíce,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.5474612289
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2020,Bazický index (2021 = 100),Bez očištění,98.64603114
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",102.015639
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.960241
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2020,Meziroční index,Bez očištění,97.648433572
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.6446209294
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.1631477517
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2020,Bazický index (2021 = 100),Bez očištění,94.68660135
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",94.803223
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.723335
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2020,Meziroční index,Bez očištění,102.0602963181
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.2508052326
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",98.5257636468
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2020,Bazický index (2021 = 100),Bez očištění,85.21221223
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",84.850863
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.289302
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2020,Meziroční index,Bez očištění,101.8190623497
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",101.819062596
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.6384112094
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2020,Bazický index (2021 = 100),Bez očištění,64.41386146
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",64.568584
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.422021
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2020,Meziroční index,Bez očištění,104.8059335061
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.7984554512
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.1386226495
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2020,Bazický index (2021 = 100),Bez očištění,54.78208797
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",54.358045
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.78224
