Území;Ukazatel;Výrobek;Roky;value
Česko;Energetická náročnost na výrobu vybraných výrobků;Dílce stavební konstrukční, betonové a železobetonové (GJ/t);2022;0.1251255116
Česko;Energetická náročnost na výrobu vybraných výrobků;Dílce stavební konstrukční, betonové a železobetonové (GJ/t);2021;0.2557446626
Česko;Energetická náročnost na výrobu vybraných výrobků;Dílce stavební konstrukční, betonové a železobetonové (GJ/t);2020;0.3105589229
Česko;Energetická náročnost na výrobu vybraných výrobků;Dílce stavební konstrukční, betonové a železobetonové (GJ/t);2019;0.2451189705
Česko;Energetická náročnost na výrobu vybraných výrobků;Dílce stavební konstrukční, betonové a železobetonové (GJ/t);2018;0.2771241268
Česko;Energetická náročnost na výrobu vybraných výrobků;Cihly pálené (GJ/t);2022;1.9707748415
Česko;Energetická náročnost na výrobu vybraných výrobků;Cihly pálené (GJ/t);2021;2.104611
Česko;Energetická náročnost na výrobu vybraných výrobků;Cihly pálené (GJ/t);2020;1.9657081857
Česko;Energetická náročnost na výrobu vybraných výrobků;Cihly pálené (GJ/t);2019;2.0369553612
Česko;Energetická náročnost na výrobu vybraných výrobků;Cihly pálené (GJ/t);2018;1.8976451613
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ploché tažené (GJ/t);2022;7.3769315916
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ploché tažené (GJ/t);2021;8.1617417672
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ploché tažené (GJ/t);2020;7.9782791005
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ploché tažené (GJ/t);2019;8.3446663305
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ploché tažené (GJ/t);2018;7.9178186365
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ostatní (mimo ploché) (GJ/t);2022;6.7757220573
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ostatní (mimo ploché) (GJ/t);2021;7.1165678147
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ostatní (mimo ploché) (GJ/t);2020;7.3002681015
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ostatní (mimo ploché) (GJ/t);2019;7.6944386028
Česko;Energetická náročnost na výrobu vybraných výrobků;Sklo ostatní (mimo ploché) (GJ/t);2018;7.3520660713
Česko;Energetická náročnost na výrobu vybraných výrobků;Porcelán užitkový a ozdobný (GJ/t);2022;53.4252301973
Česko;Energetická náročnost na výrobu vybraných výrobků;Porcelán užitkový a ozdobný (GJ/t);2021;56.7462412798
Česko;Energetická náročnost na výrobu vybraných výrobků;Porcelán užitkový a ozdobný (GJ/t);2020;53.0949606298
Česko;Energetická náročnost na výrobu vybraných výrobků;Porcelán užitkový a ozdobný (GJ/t);2019;45.0762190898
Česko;Energetická náročnost na výrobu vybraných výrobků;Porcelán užitkový a ozdobný (GJ/t);2018;42.056067878
