Kumulace měsíců,PCSU,Kraje,Ukazatel,value
01-02 2025,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty v nebytových budovách,5
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty,268
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty - nová výstavba,226
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty - změna dokončených staveb,42
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty v nových rodinných domech,140
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty v nových bytových domech,85
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty v nebytových budovách,4
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty,411
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty - nová výstavba,300
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty - změna dokončených staveb,111
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty v nových rodinných domech,201
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty v nových bytových domech,96
01-02 2025,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty v nebytových budovách,14
