Ukazatel,"ČR, kraje",Rok,Věk (roky),Pohlaví,value
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,69,Celkem,127568
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,69,Muži,58945
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,69,Ženy,68623
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,70,Celkem,126368
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,70,Muži,57582
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,70,Ženy,68786
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,71,Celkem,124757
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,71,Muži,56466
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,71,Ženy,68291
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,72,Celkem,124181
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,72,Muži,55276
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,72,Ženy,68905
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,73,Celkem,121680
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,73,Muži,53011
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,73,Ženy,68669
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,74,Celkem,116441
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,74,Muži,50396
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,74,Ženy,66045
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,75,Celkem,110229
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,75,Muži,46932
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,75,Ženy,63297
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,76,Celkem,109785
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,76,Muži,46477
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,76,Ženy,63308
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,77,Celkem,110043
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,77,Muži,45524
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,77,Ženy,64519
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,78,Celkem,101353
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,78,Muži,41049
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,78,Ženy,60304
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,79,Celkem,77715
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,79,Muži,30329
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,79,Ženy,47386
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,80,Celkem,77496
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,80,Muži,29912
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,80,Ženy,47584
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,81,Celkem,70876
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,81,Muži,26950
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,81,Ženy,43926
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,82,Celkem,59194
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,82,Muži,22142
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,82,Ženy,37052
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,83,Celkem,52623
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,83,Muži,19148
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,83,Ženy,33475
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,84,Celkem,47673
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,84,Muži,17113
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,84,Ženy,30560
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,85,Celkem,38459
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,85,Muži,13123
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,85,Ženy,25336
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,86,Celkem,33117
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,86,Muži,11034
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,86,Ženy,22083
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,87,Celkem,27686
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,87,Muži,8871
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,87,Ženy,18815
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,88,Celkem,23724
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,88,Muži,7351
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,88,Ženy,16373
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,89,Celkem,19954
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,89,Muži,6010
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,89,Ženy,13944
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,90,Celkem,16838
Počet obyvatel k 31. 12. (koncový stav),Česko,2024,90,Muži,4840
