Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;září 2023;Počet přenocování;Celkem;5268258.0
Hromadná ubytovací zařízení celkem;Česko;září 2023;Počet přenocování;Rezidenti;3083515.0
Hromadná ubytovací zařízení celkem;Česko;září 2023;Počet přenocování;Nerezidenti;2184743.0
Hromadná ubytovací zařízení celkem;Česko;září 2023;Průměrný počet přenocování ;Celkem;2.3876473851
Hromadná ubytovací zařízení celkem;Česko;září 2023;Průměrný počet přenocování ;Rezidenti;2.3969029692
Hromadná ubytovací zařízení celkem;Česko;září 2023;Průměrný počet přenocování ;Nerezidenti;2.374705165
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Počet hostů;Celkem;2757229.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Počet hostů;Rezidenti;1678526.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Počet hostů;Nerezidenti;1078703.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Počet přenocování;Celkem;7847791.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Počet přenocování;Rezidenti;5169522.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Počet přenocování;Nerezidenti;2678269.0
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Průměrný počet přenocování ;Celkem;2.8462601402
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Průměrný počet přenocování ;Rezidenti;3.0797985852
Hromadná ubytovací zařízení celkem;Česko;srpen 2023;Průměrný počet přenocování ;Nerezidenti;2.4828604352
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Počet hostů;Celkem;2847935.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Počet hostů;Rezidenti;1803124.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Počet hostů;Nerezidenti;1044811.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Počet přenocování;Celkem;8190090.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Počet přenocování;Rezidenti;5667098.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Počet přenocování;Nerezidenti;2522992.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Průměrný počet přenocování ;Celkem;2.8757994828
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Průměrný počet přenocování ;Rezidenti;3.1429330429
Hromadná ubytovací zařízení celkem;Česko;červenec 2023;Průměrný počet přenocování ;Nerezidenti;2.4147831522
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Počet hostů;Celkem;2169633.0
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Počet hostů;Rezidenti;1293977.0
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Počet hostů;Nerezidenti;875656.0
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Počet přenocování;Celkem;5113784.0
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Počet přenocování;Rezidenti;3080902.0
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Počet přenocování;Nerezidenti;2032882.0
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Průměrný počet přenocování ;Celkem;2.3569811116
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Průměrný počet přenocování ;Rezidenti;2.3809557666
Hromadná ubytovací zařízení celkem;Česko;červen 2023;Průměrný počet přenocování ;Nerezidenti;2.3215532127
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Počet hostů;Celkem;1980632.0
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Počet hostů;Rezidenti;1124096.0
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Počet hostů;Nerezidenti;856536.0
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Počet přenocování;Celkem;4757935.0
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Počet přenocování;Rezidenti;2696822.0
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Počet přenocování;Nerezidenti;2061113.0
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Průměrný počet přenocování ;Celkem;2.4022307021
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Průměrný počet přenocování ;Rezidenti;2.3991029236
Hromadná ubytovací zařízení celkem;Česko;květen 2023;Průměrný počet přenocování ;Nerezidenti;2.4063355189
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Počet hostů;Celkem;1613709.0
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Počet hostů;Rezidenti;814033.0
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Počet hostů;Nerezidenti;799676.0
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Počet přenocování;Celkem;3928362.0
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Počet přenocování;Rezidenti;1968468.0
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Počet přenocování;Nerezidenti;1959894.0
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Průměrný počet přenocování ;Celkem;2.4343682783
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Průměrný počet přenocování ;Rezidenti;2.4181673225
Hromadná ubytovací zařízení celkem;Česko;duben 2023;Průměrný počet přenocování ;Nerezidenti;2.4508600983
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Počet hostů;Celkem;1372651.0
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Počet hostů;Rezidenti;769296.0
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Počet hostů;Nerezidenti;603355.0
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Počet přenocování;Celkem;3476645.0
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Počet přenocování;Rezidenti;1988680.0
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Počet přenocování;Nerezidenti;1487965.0
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Průměrný počet přenocování ;Celkem;2.5327960275
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Průměrný počet přenocování ;Rezidenti;2.5850647865
Hromadná ubytovací zařízení celkem;Česko;březen 2023;Průměrný počet přenocování ;Nerezidenti;2.466151768
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Počet hostů;Celkem;1244226.0
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Počet hostů;Rezidenti;721371.0
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Počet hostů;Nerezidenti;522855.0
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Počet přenocování;Celkem;3448465.0
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Počet přenocování;Rezidenti;2055775.0
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Počet přenocování;Nerezidenti;1392690.0
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Průměrný počet přenocování ;Celkem;2.7715744567
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Průměrný počet přenocování ;Rezidenti;2.8498165299
Hromadná ubytovací zařízení celkem;Česko;únor 2023;Průměrný počet přenocování ;Nerezidenti;2.6636256706
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Počet hostů;Celkem;1127418.0
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Počet hostů;Rezidenti;608591.0
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Počet hostů;Nerezidenti;518827.0
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Počet přenocování;Celkem;2879406.0
Hromadná ubytovací zařízení celkem;Česko;leden 2023;Počet přenocování;Rezidenti;1563533.0
