Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2008,105.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2008,105.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2008,104.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2008,103.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2009,102.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2009,101.0
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2009,100.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2009,99.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2010,99.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2010,99.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2010,99.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2011,99.3
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2011,99.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2012,99.6
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2012,99.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2013,99.0
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2013,99.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2014,99.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2014,100.4
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2014,100.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2014,100.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2015,100.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2015,101.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2015,101.2
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2016,101.0
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2016,101.1
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2017,101.4
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,2. čtvrtletí 2017,101.7
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,3. čtvrtletí 2017,101.9
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,4. čtvrtletí 2017,102.4
Index cen stavebních děl,Meziroční index,Česko,11 Budovy bytové,1. čtvrtletí 2018,102.7
