Kategorie;Území;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Jižní Afrika;Průměrný počet přenocování ;2.6844751728
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní africké země;Počet hostů;7778.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní africké země;Počet přenocování;20117.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní africké země;Průměrný počet přenocování ;2.5863975315
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Austrálie;Počet hostů;10045.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Austrálie;Počet přenocování;25309.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Austrálie;Průměrný počet přenocování ;2.5195619711
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nový Zéland;Počet hostů;1248.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nový Zéland;Počet přenocování;2797.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nový Zéland;Průměrný počet přenocování ;2.2411858974
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Oceánie;Počet hostů;612.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Oceánie;Počet přenocování;1295.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Oceánie;Průměrný počet přenocování ;2.1160130719
