Roky;Ukazatel;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;HUZ celkem;71.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Hotel, motel, botel ****;13.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Hotel, motel, botel ***;17.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Penzion;25.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Kemp;4.0
2023;Počet hromadných ubytovacích zařízení;Plzeň a okolí;Chatová osada;
