Stát,Ukazatel,Typ ceny,Čtvrtletí,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",91.1215821265
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2020,Bazický index (2021 = 100),Bez očištění,109.28297664
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",109.2782056667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.0693646667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2020,Meziroční index,Bez očištění,92.5753342373
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",92.5108072269
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.6175328706
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2020,Bazický index (2021 = 100),Bez očištění,99.3580164333
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.2409066667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.034689
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2020,Meziroční index,Bez očištění,102.7047040385
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2020,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",101.9281218528
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2020,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.3889665331
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2020,Bazický index (2021 = 100),Bez očištění,68.1360538867
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2020,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",67.9258306667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2020,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.4978543333
