Území,Druh zemědělské plodiny,Ukazatel,Roky,value
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2015,7730783.06
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2016,7729688.86
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2017,6859417.61
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2018,6468845.44
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2019,7017604.61
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2020,7287572.16
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2021,7224830.36
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2022,7569819.39
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2023,7479235.03
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2024,6799364.18
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Sklizeň zemědělských plodin (t),2025,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2009,4.85300929
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2010,4.57005643
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2011,5.33937285
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2012,4.26580191
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2013,5.22413365
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2014,6.09235291
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2015,5.93292186
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2016,6.11744673
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2017,5.433983571
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2018,5.1732528425
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2019,5.5154378754
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2020,5.8264938249
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2021,5.848869058
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2022,5.8284291347
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2023,5.9903132095
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2024,5.5980856478
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Hektarový výnos (t/ha),2025,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2009,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2010,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2011,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2012,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2013,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2014,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2015,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2016,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2017,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2018,
Česko,"Základní obiloviny na zrno (pšenice, žito, ječmen, oves a tritikale)",Osevní a sklizňová plocha k 31. prosinci (ha),2019,
