Území,Čtvrtletí,Ukazatel,value
Česko,3. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4003.4632107588
Česko,3. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),40.6537699057
Česko,3. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.0258825339
Česko,3. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),37896.3643556729
Česko,3. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1921.0996709285
Česko,3. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.3
Česko,3. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4190.4554536679
Česko,3. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),45.2880657695
Česko,3. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.0925509523
Česko,3. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),36205.3008788462
Česko,3. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1812.6925257795
Česko,3. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.2705875262
Česko,2. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),3995.0802326429
Česko,2. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),30.5218623035
Česko,2. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.7698679008
Česko,2. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),38769.6749527043
Česko,2. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3894.8402963024
Česko,2. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),111.2
Česko,2. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4177.926952234
Česko,2. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),32.1800060111
Česko,2. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.7762173241
Česko,2. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),37072.9224805417
Česko,2. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3722.2815840425
Česko,2. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),111.161049635
Česko,1. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),3970.446272383
Česko,1. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-67.4295292173
Česko,1. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.330074214
Česko,1. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),35804.0985481774
Česko,1. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1043.5109443731
Česko,1. čtvrtletí 2021,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),103.0
Česko,1. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4153.3270820765
Česko,1. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-65.2271778516
Česko,1. čtvrtletí 2021,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.4538025629
Česko,1. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),34227.5594498977
Česko,1. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),955.7495153725
Česko,1. čtvrtletí 2021,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),102.8725504181
Česko,4. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4003.5075963978
Česko,4. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-82.7751645639
Česko,4. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),97.9743162819
Česko,4. čtvrtletí 2020,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),39092.0628896787
Česko,4. čtvrtletí 2020,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2457.9542680981
Česko,4. čtvrtletí 2020,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7
Česko,4. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4183.739443525
Česko,4. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-68.8892540416
Česko,4. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),98.3800783247
Česko,4. čtvrtletí 2020,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),37408.0109075401
Česko,4. čtvrtletí 2020,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2206.8830476773
Česko,4. čtvrtletí 2020,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2693532334
Česko,3. čtvrtletí 2020,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),3962.809440853
