Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;M - Profesní, vědecké a technické činnosti;Nepřímé náklady - sociální náklady/výdaje - ostatní;898.4500860904
Česko;2023;M - Profesní, vědecké a technické činnosti;Nepřímé náklady - personální náklady/výdaje;390.7470420177
Česko;2023;M - Profesní, vědecké a technické činnosti;Nepřímé náklady - daně a dotace;-25.0937002434
Česko;2023;N - Administrativní a podpůrné činnosti;Náklady práce celkem;39525.586970447
Česko;2023;N - Administrativní a podpůrné činnosti;Přímé náklady celkem;29063.4990562769
Česko;2023;N - Administrativní a podpůrné činnosti;Přímé náklady - mzdy za vykonanou práci;26036.5395423072
Česko;2023;N - Administrativní a podpůrné činnosti;Přímé náklady - náhrady mzdy;3026.9595139696
Česko;2023;N - Administrativní a podpůrné činnosti;Nepřímé náklady - sociální požitky;311.239321268
Česko;2023;N - Administrativní a podpůrné činnosti;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;9862.0083265411
Česko;2023;N - Administrativní a podpůrné činnosti;Nepřímé náklady - sociální náklady/výdaje - ostatní;487.0456718609
Česko;2023;N - Administrativní a podpůrné činnosti;Nepřímé náklady - personální náklady/výdaje;272.4264899315
Česko;2023;N - Administrativní a podpůrné činnosti;Nepřímé náklady - daně a dotace;-470.6318954314
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Náklady práce celkem;65593.5728423909
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Přímé náklady celkem;46034.9150786432
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Přímé náklady - mzdy za vykonanou práci;41040.5961743069
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Přímé náklady - náhrady mzdy;4994.3189043362
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Nepřímé náklady - sociální požitky;1328.4118536089
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;15929.6905201563
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Nepřímé náklady - sociální náklady/výdaje - ostatní;756.3773560233
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Nepřímé náklady - personální náklady/výdaje;1741.5621961324
Česko;2023;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Nepřímé náklady - daně a dotace;-197.3841621732
Česko;2023;P - Vzdělávání;Náklady práce celkem;59422.6769795771
Česko;2023;P - Vzdělávání;Přímé náklady celkem;43799.1375561863
Česko;2023;P - Vzdělávání;Přímé náklady - mzdy za vykonanou práci;37330.5879137642
Česko;2023;P - Vzdělávání;Přímé náklady - náhrady mzdy;6468.5496424221
Česko;2023;P - Vzdělávání;Nepřímé náklady - sociální požitky;180.6776787218
Česko;2023;P - Vzdělávání;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;14953.1603967896
Česko;2023;P - Vzdělávání;Nepřímé náklady - sociální náklady/výdaje - ostatní;432.8282339692
Česko;2023;P - Vzdělávání;Nepřímé náklady - personální náklady/výdaje;201.1254775533
Česko;2023;P - Vzdělávání;Nepřímé náklady - daně a dotace;-144.2523636431
Česko;2023;Q - Zdravotní a sociální péče;Náklady práce celkem;63915.2809830023
Česko;2023;Q - Zdravotní a sociální péče;Přímé náklady celkem;46773.2702155275
Česko;2023;Q - Zdravotní a sociální péče;Přímé náklady - mzdy za vykonanou práci;41835.1068322393
Česko;2023;Q - Zdravotní a sociální péče;Přímé náklady - náhrady mzdy;4938.1633832883
