Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.58494696
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),223.6162636944
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.1974827739
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.088391304
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45707.8763836029
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3012.3700120027
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0554732055
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),235.2157108914
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.2206322253
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.0938880195
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),43453.83435303
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2861.5885984799
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.0495941904
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),85.4215117356
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.8550288154
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.0089672002
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41944.4877037774
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2672.1355655429
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.8041138869
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),89.7242685095
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.902226831
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.0044557857
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39933.0260156973
