Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2004;113.0932039769
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2003;88.6706369534
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2002;103.4033161737
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2001;154.9140184145
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;21 Výroba základních farmaceutických výrobků a farmaceutických přípravků;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2024;89.4084223573
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2023;79.1407549639
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2022;109.4851788609
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2021;145.2187096862
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2020;89.8716715273
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2019;92.1381965728
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2018;106.7080187184
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2017;112.1670421362
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2016;94.8864332969
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2015;93.121379692
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2014;105.3703662716
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2013;98.2285221422
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2012;88.4174821868
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2011;113.8354745161
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2010;135.180639923
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2009;59.2879162229
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2008;106.1066923293
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2007;95.288172208
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2006;110.2768598905
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2005;94.2974693983
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2004;137.5658654162
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;"24 Výroba základních kovů, hutní zpracování kovů; slévárenství";2003;117.6887748015
