Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,250 až 499 zaměstnanců,4.0480437574
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,500 až 999 zaměstnanců,4.1380057726
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,1 000 a více zaměstnanců,4.8197450968
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",Celkem zaměstnanců,0.0807220959
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",1 až 9 zaměstnanců,0.0002497287
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",10 až 19 zaměstnanců,0.0001195844
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",20 a více zaměstnanců,0.0999298668
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",20 až 49 zaměstnanců,0.0033668891
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",50 až 99 zaměstnanců,0.0109514681
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",100 až 249 zaměstnanců,0.0221286077
